Rank,Team,Wins,Draws,Loses,Team_goals,Opponents_goals,Goal_difference,Points,Opponent,opponent_rank,Date,Time,Home/Away,team_goals,opponent_goals,Outcome,Target_Winner,stat_Expected_Goals_xG_team,stat_Expected_Goals_xG_opponent,stat_Ball_Possession_team,stat_Ball_Possession_opponent,stat_Total_shots_team,stat_Total_shots_opponent,stat_Shots_on_target_team,stat_Shots_on_target_opponent,stat_Big_Chances_team,stat_Big_Chances_opponent,stat_Corner_Kicks_team,stat_Corner_Kicks_opponent,stat_Passes_team,stat_Passes_opponent,stat_Yellow_Cards_team,stat_Yellow_Cards_opponent,stat_xG_on_target_xGOT_team,stat_xG_on_target_xGOT_opponent,stat_Shots_off_target_team,stat_Shots_off_target_opponent,stat_Blocked_Shots_team,stat_Blocked_Shots_opponent,stat_Shots_inside_the_Box_team,stat_Shots_inside_the_Box_opponent,stat_Shots_outside_the_Box_team,stat_Shots_outside_the_Box_opponent,stat_Hit_the_Woodwork_team,stat_Hit_the_Woodwork_opponent,stat_Touches_in_opposition_box_team,stat_Touches_in_opposition_box_opponent,stat_Accurate_through_passes_team,stat_Accurate_through_passes_opponent,stat_Offsides_team,stat_Offsides_opponent,stat_Free_Kicks_team,stat_Free_Kicks_opponent,stat_Long_passes_team,stat_Long_passes_opponent,stat_Passes_in_final_third_team,stat_Passes_in_final_third_opponent,stat_Crosses_team,stat_Crosses_opponent,stat_Expected_assists_xA_team,stat_Expected_assists_xA_opponent,stat_Throw-ins_team,stat_Throw-ins_opponent,stat_Fouls_team,stat_Fouls_opponent,stat_Tackles_team,stat_Tackles_opponent,stat_Duels_won_team,stat_Duels_won_opponent,stat_Clearances_team,stat_Clearances_opponent,stat_Interceptions_team,stat_Interceptions_opponent,stat_Errors_leading_to_shot_team,stat_Errors_leading_to_shot_opponent,stat_Errors_leading_to_goal_team,stat_Errors_leading_to_goal_opponent,stat_Goalkeeper_Saves_team,stat_Goalkeeper_Saves_opponent,stat_xGOT_faced_team,stat_xGOT_faced_opponent,stat_Goals_prevented_team,stat_Goals_prevented_opponent,stat_Red_Cards_team,stat_Red_Cards_opponent,stat_Headed_Goals_team,stat_Headed_Goals_opponent,Team_encoded,Opponent_encoded,Home_encoded,Outcome_encoded,Target_encoded,win_rate_global,win_rate_lastN,home_win_rate,away_win_rate,h2h_win_rate,win_streak,form_score,goal_diff,goal_diff_win_rate,weighted_outcome
11.0,Le Havre,1,0,2,5,6,-1,3,Lens,6.0,24.08.2025,16:15,home,1,2,L,opponent,1.89,1.07,0.57,0.43,18,6,6,3,4,2,7,0,0.83,0.86,3.0,1.0,0.92,1.55,7,2,5,1,11,4,7,2,1,0,35,11,1,0,2,0,15,16,0.49,0.61,0.66,0.75,0.26,0.33,1.57,0.4,28,8,17,16,0.36,0.68,49,55,9,36,10,17,1,1,0,0,1,5,1.55,0.92,-0.45,-0.08,0.0,0.0,0.0,0.0,3,4,1,2,2,0.0,0.0,0.0,0.0,0.5,0,0.0,-1,0.0,0.0
11.0,Le Havre,1,0,2,5,6,-1,3,Nice,12.0,31.08.2025,16:15,home,3,1,W,team,2.56,0.63,0.41,0.59,12,7,8,3,4,2,0,5,0.79,0.85,1.0,4.0,3.35,1.15,2,2,2,2,8,5,4,2,0,0,18,17,2,2,0,0,15,13,0.48,0.5,0.58,0.71,0.19,0.17,1.33,1.44,23,20,13,16,0.5,0.64,48,49,26,20,4,6,0,1,0,1,2,5,1.15,3.35,0.15,0.35,0.0,0.0,0.0,0.0,3,12,1,1,1,0.3333333333333333,0.3333333333333333,0.5,0.0,0.5,1,0.3,2,0.3333333333333333,0.3233333333333333
6.0,Lens,2,0,1,5,3,2,6,Lyon,2.0,16.08.2025,16:00,home,0,1,L,opponent,1.38,1.41,0.55,0.45,18,11,5,3,4,2,13,8,0.85,0.8,2.0,3.0,1.65,1.63,9,7,4,1,11,8,7,3,0,0,49,21,1,0,5,1,19,13,0.7,0.4,0.78,0.59,0.16,0.27,1.36,0.85,20,9,13,20,0.58,0.76,53,43,17,34,11,7,0,1,0,0,2,5,1.63,1.65,0.63,1.65,0.0,0.0,0.0,0.0,4,7,1,2,2,0.0,0.0,0.0,0.5,0.5,0,0.0,-1,0.0,0.0
6.0,Lens,2,0,1,5,3,2,6,Le Havre,11.0,24.08.2025,16:15,away,2,1,W,team,1.07,1.89,0.43,0.57,6,18,3,6,2,4,0,7,0.86,0.83,1.0,3.0,1.55,0.92,2,7,1,5,4,11,2,7,0,1,11,35,0,1,0,2,16,15,0.61,0.49,0.75,0.66,0.33,0.26,0.4,1.57,8,28,16,17,0.68,0.36,55,49,36,9,17,10,1,1,0,0,5,1,0.92,1.55,-0.08,-0.45,0.0,0.0,0.0,0.0,4,3,0,1,1,0.5,0.5,0.0,1.0,0.5,1,0.2,1,0.5,0.41000000000000003
6.0,Lens,2,0,1,5,3,2,6,Brest,17.0,29.08.2025,19:45,home,3,1,W,team,3.99,1.08,0.68,0.32,30,9,10,2,8,1,15,1,0.85,0.73,1.0,3.0,5.0,1.06,9,2,11,5,26,7,4,2,0,0,55,17,0,1,2,0,10,7,0.5,0.49,0.79,0.61,0.29,0.25,2.43,0.56,12,16,7,12,0.73,0.67,54,65,19,30,6,8,0,1,0,0,1,7,1.06,5.0,0.06,2.0,0.0,1.0,0.0,0.0,4,2,1,1,1,0.6666666666666666,0.6666666666666666,0.5,1.0,0.5,2,0.5,2,0.6666666666666666,0.6166666666666666
3.0,Lille,2,1,0,11,4,7,7,Brest,17.0,17.08.2025,14:00,away,3,3,D,draw,1.62,2.02,0.54,0.46,10,18,6,5,3,2,2,2,0.82,0.74,1.0,2.0,1.98,3.14,0,8,4,5,7,12,3,6,0,1,20,20,2,1,2,1,9,13,0.55,0.37,0.71,0.54,0.36,0.18,1.08,1.07,22,21,13,11,0.47,0.5,52,52,29,17,10,7,0,0,0,2,2,3,3.14,1.98,0.14,-1.02,0.0,0.0,0.0,0.0,5,2,0,0,0,0.0,0.0,0.5,0.0,0.5,0,0.0,0,0.0,0.0
3.0,Lille,2,1,0,11,4,7,7,Monaco,5.0,24.08.2025,19:45,home,1,0,W,team,2.92,1.25,0.5,0.5,18,6,1,1,4,3,8,3,0.83,0.8,1.0,2.0,0.56,0.68,13,4,4,1,10,5,8,1,0,0,34,15,1,0,2,0,14,7,0.61,0.33,0.74,0.69,0.25,0.14,1.46,0.53,19,26,7,14,0.6,0.64,58,38,23,26,17,11,2,0,0,0,1,0,0.68,0.56,0.68,-0.44,0.0,0.0,0.0,0.0,5,10,1,1,1,0.5,0.5,1.0,0.0,0.5,1,0.2,1,0.5,0.41000000000000003
3.0,Lille,2,1,0,11,4,7,7,Lorient,16.0,30.08.2025,16:00,away,7,1,W,team,3.5,1.5,0.59,0.41,20,6,11,2,9,3,8,3,0.87,0.84,3.0,3.0,4.61,1.66,3,3,6,1,15,5,5,1,1,0,34,11,1,0,2,3,13,17,0.57,0.51,0.73,0.8,0.2,0.07,1.36,0.24,13,13,18,14,0.64,0.45,46,42,10,22,9,17,0,0,0,1,1,4,1.66,4.61,0.66,-2.39,0.0,0.0,1.0,0.0,5,6,0,1,1,0.6666666666666666,0.6666666666666666,1.0,0.5,0.5,2,0.5,6,0.6666666666666666,0.6166666666666666
16.0,Lorient,1,0,3,5,12,-7,3,Marseille,4.0,12.09.2025,19:45,away,0,4,L,opponent,0.14,2.26,0.28,0.72,4,15,1,8,0,4,0,10,0.84,0.93,2.0,3.0,0.01,2.6,1,2,2,5,3,10,1,5,0,0,5,39,0,0,0,1,16,5,0.42,0.75,0.65,0.88,0.5,0.38,0.1,2.25,8,12,5,18,0.75,0.43,40,45,21,2,6,4,1,0,0,0,4,1,2.6,0.01,-1.4,0.01,1.0,0.0,0.0,1.0,6,8,0,2,2,0.0,0.0,0.5,0.0,0.5,0,0.0,-4,0.0,0.0
16.0,Lorient,1,0,3,5,12,-7,3,Auxerre,14.0,17.08.2025,16:15,away,0,1,L,opponent,1.37,1.43,0.56,0.44,14,7,3,3,3,2,5,4,0.84,0.81,2.0,3.0,0.57,0.49,6,3,5,1,11,4,3,3,0,1,23,10,1,0,2,0,17,13,0.52,0.34,0.61,0.57,0.17,0.13,0.7,0.16,23,14,14,18,0.56,0.48,53,65,20,23,6,7,0,1,0,0,2,3,0.49,0.57,-0.51,0.57,0.0,0.0,0.0,0.0,6,1,0,2,2,0.0,0.0,0.5,0.0,0.5,0,0.0,-1,0.0,0.0
