Rank,Team,Wins,Draws,Loses,Team_goals,Opponents_goals,Goal_difference,Points,Opponent,opponent_rank,Date,Time,Home/Away,team_goals,opponent_goals,Outcome,Target_Winner,stat_Expected_Goals_xG_team,stat_Expected_Goals_xG_opponent,stat_Ball_Possession_team,stat_Ball_Possession_opponent,stat_Total_shots_team,stat_Total_shots_opponent,stat_Shots_on_target_team,stat_Shots_on_target_opponent,stat_Big_Chances_team,stat_Big_Chances_opponent,stat_Corner_Kicks_team,stat_Corner_Kicks_opponent,stat_Passes_team,stat_Passes_opponent,stat_Yellow_Cards_team,stat_Yellow_Cards_opponent,stat_Shots_off_target_team,stat_Shots_off_target_opponent,stat_Blocked_Shots_team,stat_Blocked_Shots_opponent,stat_Shots_inside_the_Box_team,stat_Shots_inside_the_Box_opponent,stat_Shots_outside_the_Box_team,stat_Shots_outside_the_Box_opponent,stat_Hit_the_Woodwork_team,stat_Hit_the_Woodwork_opponent,stat_Touches_in_opposition_box_team,stat_Touches_in_opposition_box_opponent,stat_Offsides_team,stat_Offsides_opponent,stat_Free_Kicks_team,stat_Free_Kicks_opponent,stat_Passes_in_final_third_team,stat_Passes_in_final_third_opponent,stat_Crosses_team,stat_Crosses_opponent,stat_Throw-ins_team,stat_Throw-ins_opponent,stat_Fouls_team,stat_Fouls_opponent,stat_Tackles_team,stat_Tackles_opponent,stat_Clearances_team,stat_Clearances_opponent,stat_Interceptions_team,stat_Interceptions_opponent,stat_Goalkeeper_Saves_team,stat_Goalkeeper_Saves_opponent,stat_xG_on_target_xGOT_team,stat_xG_on_target_xGOT_opponent,stat_Accurate_through_passes_team,stat_Accurate_through_passes_opponent,stat_Long_passes_team,stat_Long_passes_opponent,stat_Expected_assists_xA_team,stat_Expected_assists_xA_opponent,stat_Duels_won_team,stat_Duels_won_opponent,stat_Errors_leading_to_shot_team,stat_Errors_leading_to_shot_opponent,stat_Errors_leading_to_goal_team,stat_Errors_leading_to_goal_opponent,stat_xGOT_faced_team,stat_xGOT_faced_opponent,stat_Goals_prevented_team,stat_Goals_prevented_opponent,stat_Headed_Goals_team,stat_Headed_Goals_opponent,stat_Red_Cards_team,stat_Red_Cards_opponent
1.0,Napoli,24,10,4,59,27,32,82,Fiorentina,6.0,09.03.2025,14:00,home,2,1,W,team,2.88,1.14,0.49,0.51,19.0,7.0,11.0,2.0,5.0,2.0,4.0,4.0,0.86,0.84,1.0,2.0,4.0,4.0,4.0,1.0,14.0,4.0,5.0,3.0,1.0,0.0,28.0,16.0,0.0,1.0,5.0,10.0,0.72,0.72,0.18,0.25,19.0,20.0,10.0,5.0,0.63,0.71,23.0,22.0,7.0,9.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,Napoli,24,10,4,59,27,32,82,Inter,2.0,10.11.2024,19:45,away,1,1,D,draw,0.59,1.53,0.47,0.53,5.0,13.0,2.0,4.0,0.0,0.0,2.0,4.0,0.8,0.85,0.0,2.0,2.0,4.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,15.0,12.0,0.0,0.0,0.0,0.0,18.0,25.0,12.0,15.0,0.0,0.0,0.0,0.0,8.0,12.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,Napoli,24,10,4,59,27,32,82,Genoa,13.0,11.05.2025,19:45,home,2,2,D,draw,1.75,0.68,0.59,0.41,22.0,8.0,11.0,2.0,3.0,1.0,8.0,0.0,0.84,0.77,1.0,2.0,5.0,4.0,6.0,2.0,18.0,6.0,4.0,2.0,0.0,2.0,31.0,9.0,1.0,1.0,14.0,12.0,0.61,0.6,0.44,0.21,26.0,17.0,12.0,14.0,0.2,0.86,21.0,26.0,8.0,9.0,0.0,9.0,2.27,1.35,1.0,0.0,0.44,0.45,1.22,0.49,56.0,38.0,1.0,0.0,0.0,0.0,1.35,2.27,0.35,0.27,0.0,1.0,0.0,0.0
1.0,Napoli,24,10,4,59,27,32,82,Verona,14.0,12.01.2025,19:45,home,2,0,W,team,0.87,0.23,0.69,0.31,14.0,6.0,3.0,2.0,2.0,0.0,8.0,1.0,0.91,0.8,0.0,0.0,9.0,2.0,2.0,2.0,5.0,3.0,9.0,3.0,1.0,0.0,37.0,7.0,0.0,1.0,5.0,6.0,0.81,0.71,0.19,0.14,18.0,12.0,6.0,5.0,0.43,0.68,8.0,32.0,8.0,14.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,Napoli,24,10,4,59,27,32,82,Empoli,18.0,14.04.2025,19:45,home,3,0,W,team,1.97,1.16,0.63,0.37,17.0,12.0,6.0,1.0,3.0,2.0,5.0,5.0,0.89,0.79,1.0,1.0,7.0,7.0,4.0,4.0,11.0,9.0,6.0,3.0,1.0,0.0,25.0,20.0,1.0,0.0,15.0,8.0,0.8,0.63,0.39,0.35,15.0,18.0,8.0,15.0,0.75,0.4,26.0,13.0,5.0,13.0,1.0,3.0,1.34,0.03,0.0,0.0,0.67,0.44,1.64,0.99,47.0,37.0,0.0,0.0,0.0,0.0,0.03,1.34,0.03,-1.66,1.0,0.0,0.0,0.0
1.0,Napoli,24,10,4,59,27,32,82,Udinese,12.0,14.12.2024,17:00,away,3,1,W,team,2.16,1.34,0.71,0.29,17.0,7.0,4.0,3.0,3.0,3.0,9.0,3.0,0.9,0.69,1.0,1.0,10.0,2.0,3.0,2.0,15.0,6.0,2.0,1.0,0.0,0.0,32.0,11.0,2.0,0.0,14.0,8.0,0.73,0.44,0.21,0.27,24.0,15.0,8.0,14.0,0.65,0.62,12.0,35.0,5.0,12.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,Napoli,24,10,4,59,27,32,82,Lazio,7.0,15.02.2025,17:00,away,2,2,D,draw,0.35,0.63,0.48,0.52,6.0,12.0,3.0,5.0,1.0,1.0,1.0,7.0,0.87,0.89,2.0,2.0,1.0,6.0,2.0,1.0,3.0,6.0,2.0,6.0,0.0,0.0,16.0,18.0,1.0,1.0,9.0,19.0,0.75,0.78,0.3,0.13,15.0,15.0,19.0,9.0,0.56,0.89,26.0,10.0,6.0,13.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,Napoli,24,10,4,59,27,32,82,Cagliari,15.0,15.09.2024,17:00,away,4,0,W,team,1.75,1.03,0.49,0.51,12.0,16.0,5.0,3.0,0.0,0.0,4.0,7.0,0.81,0.8,2.0,1.0,3.0,10.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,27.0,17.0,0.0,0.0,0.0,0.0,23.0,12.0,11.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,Napoli,24,10,4,59,27,32,82,Venezia,19.0,16.03.2025,11:30,away,0,0,D,draw,1.54,0.73,0.58,0.42,15.0,13.0,7.0,4.0,1.0,2.0,8.0,3.0,0.82,0.76,1.0,2.0,4.0,7.0,4.0,2.0,14.0,8.0,1.0,5.0,1.0,0.0,28.0,25.0,2.0,1.0,19.0,8.0,0.72,0.63,0.3,0.13,23.0,21.0,8.0,19.0,0.43,0.67,33.0,30.0,10.0,10.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,Napoli,24,10,4,59,27,32,82,Atalanta,3.0,18.01.2025,19:45,away,3,2,W,team,0.8,0.72,0.44,0.56,6.0,15.0,3.0,6.0,3.0,0.0,1.0,3.0,0.82,0.87,2.0,4.0,2.0,7.0,1.0,2.0,4.0,11.0,2.0,4.0,0.0,0.0,12.0,32.0,1.0,1.0,18.0,9.0,0.62,0.81,0.33,0.41,21.0,14.0,9.0,18.0,0.61,0.55,19.0,12.0,8.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
