Rank,Team,Wins,Draws,Loses,Team_goals,Opponents_goals,Goal_difference,Points,Opponent,opponent_rank,Date,Time,Home/Away,team_goals,opponent_goals,Outcome,Target_Winner,stat_Expected_Goals_xG_team,stat_Expected_Goals_xG_opponent,stat_Ball_Possession_team,stat_Ball_Possession_opponent,stat_Total_shots_team,stat_Total_shots_opponent,stat_Shots_on_target_team,stat_Shots_on_target_opponent,stat_Big_Chances_team,stat_Big_Chances_opponent,stat_Corner_Kicks_team,stat_Corner_Kicks_opponent,stat_Passes_team,stat_Passes_opponent,stat_Yellow_Cards_team,stat_Yellow_Cards_opponent,stat_Shots_off_target_team,stat_Shots_off_target_opponent,stat_Blocked_Shots_team,stat_Blocked_Shots_opponent,stat_Shots_inside_the_Box_team,stat_Shots_inside_the_Box_opponent,stat_Shots_outside_the_Box_team,stat_Shots_outside_the_Box_opponent,stat_Hit_the_Woodwork_team,stat_Hit_the_Woodwork_opponent,stat_Touches_in_opposition_box_team,stat_Touches_in_opposition_box_opponent,stat_Offsides_team,stat_Offsides_opponent,stat_Free_Kicks_team,stat_Free_Kicks_opponent,stat_Passes_in_final_third_team,stat_Passes_in_final_third_opponent,stat_Crosses_team,stat_Crosses_opponent,stat_Throw-ins_team,stat_Throw-ins_opponent,stat_Fouls_team,stat_Fouls_opponent,stat_Tackles_team,stat_Tackles_opponent,stat_Clearances_team,stat_Clearances_opponent,stat_Interceptions_team,stat_Interceptions_opponent,stat_Goalkeeper_Saves_team,stat_Goalkeeper_Saves_opponent,stat_Headed_Goals_team,stat_Headed_Goals_opponent,stat_Red_Cards_team,stat_Red_Cards_opponent,stat_xG_on_target_xGOT_team,stat_xG_on_target_xGOT_opponent,stat_Accurate_through_passes_team,stat_Accurate_through_passes_opponent,stat_Long_passes_team,stat_Long_passes_opponent,stat_Expected_assists_xA_team,stat_Expected_assists_xA_opponent,stat_Duels_won_team,stat_Duels_won_opponent,stat_Errors_leading_to_shot_team,stat_Errors_leading_to_shot_opponent,stat_Errors_leading_to_goal_team,stat_Errors_leading_to_goal_opponent,stat_xGOT_faced_team,stat_xGOT_faced_opponent,stat_Goals_prevented_team,stat_Goals_prevented_opponent,Team_encoded,Opponent_encoded,Home_encoded,Outcome_encoded,Target_encoded,win_rate_global,win_rate_lastN,home_win_rate,away_win_rate,h2h_win_rate,win_streak,form_score,goal_diff,goal_diff_win_rate,weighted_outcome
8.0,Lens,15,7,12,42,39,3,52,Lille,5.0,30.03.2025,19:45,away,0,1,L,opponent,0.41,1.86,0.55,0.45,5,11,2,5,1.0,4.0,2,6,0.87,0.81,3.0,1.0,3,3,0,3,4.0,8.0,1.0,3.0,0.0,1.0,13.0,16.0,1,2,13,15,0.63,0.67,0.33,0.3,18,15,15,13,0.75,0.48,21.0,24.0,12.0,3.0,4,2,0.0,0.0,0.0,0.0,0.58,2.23,0.0,1.0,0.53,0.38,0.7,1.06,42.0,55.0,1.0,0.0,1.0,0.0,2.23,0.58,1.23,0.58,4,5,0,2,2,0.42424242424242425,0.3,0.4117647058823529,0.4375,0.0,0,0.2,-1,0.3,0.27
8.0,Lens,15,7,12,42,39,3,52,Montpellier,18.0,31.01.2025,19:45,away,2,0,W,team,2.08,0.83,0.51,0.49,19,14,5,2,5.0,2.0,5,4,0.83,0.81,3.0,4.0,8,10,6,2,11.0,8.0,8.0,6.0,0.0,0.0,29.0,21.0,2,2,12,17,0.75,0.58,0.1,0.4,15,14,17,12,0.47,0.8,31.0,38.0,12.0,6.0,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,10,0,1,1,0.4411764705882353,0.4,0.4117647058823529,0.47058823529411764,1.0,1,0.4,2,0.4,0.4
5.0,Lille,17,9,8,52,36,16,60,St Etienne,17.0,01.02.2025,20:05,home,4,1,W,team,3.41,2.11,0.67,0.33,29,9,13,2,2.0,3.0,7,1,0.89,0.74,1.0,1.0,7,4,9,3,20.0,7.0,9.0,2.0,1.0,0.0,44.0,17.0,1,1,12,11,0.83,0.66,0.42,0.0,23,19,11,12,0.84,0.55,6.0,16.0,9.0,16.0,1,9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,16,1,1,1,1.0,1.0,1.0,0.5,0.5,1,0.1,3,1.0,0.73
5.0,Lille,17,9,8,52,36,16,60,PSG,1.0,01.03.2025,20:05,away,1,4,L,opponent,1.07,3.59,0.42,0.58,6,26,2,11,2.0,6.0,3,9,0.86,0.92,2.0,0.0,4,8,0,7,2.0,20.0,4.0,6.0,0.0,0.0,8.0,51.0,0,3,6,10,0.79,0.84,0.11,0.45,11,17,10,6,0.52,0.69,17.0,11.0,10.0,12.0,7,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,13,0,2,2,0.5,0.5,1.0,0.0,0.5,0,0.1,-3,0.5,0.38
5.0,Lille,17,9,8,52,36,16,60,PSG,1.0,01.09.2024,19:45,home,1,3,L,opponent,0.74,1.93,0.42,0.58,8,11,4,7,0.0,0.0,3,1,0.0,0.0,3.0,2.0,2,1,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2,10,9,0.0,0.0,0.0,0.0,17,24,9,9,0.0,0.0,0.0,0.0,0.0,0.0,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,13,1,2,2,0.3333333333333333,0.3333333333333333,0.5,0.0,0.0,0,0.1,-2,0.3333333333333333,0.2633333333333333
5.0,Lille,17,9,8,52,36,16,60,Lyon,6.0,01.11.2024,20:00,home,1,1,D,draw,1.67,1.13,0.47,0.53,14,14,2,3,0.0,0.0,4,9,0.83,0.8,3.0,1.0,8,6,4,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,10,12,0.0,0.0,0.0,0.0,12,18,12,10,0.0,0.0,0.0,0.0,10.0,4.0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,6,1,0,0,0.25,0.25,0.3333333333333333,0.0,0.5,0,0.0,0,0.25,0.175
5.0,Lille,17,9,8,52,36,16,60,Montpellier,18.0,01.12.2024,14:00,away,2,2,D,draw,2.36,1.45,0.58,0.42,13,11,4,5,2.0,2.0,2,7,0.85,0.75,5.0,4.0,7,5,2,1,9.0,8.0,4.0,3.0,0.0,1.0,27.0,14.0,1,3,9,21,0.77,0.51,0.11,0.44,18,15,21,9,0.58,0.56,24.0,11.0,9.0,11.0,3,2,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,10,0,0,0,0.2,0.2,0.3333333333333333,0.0,0.5,0,0.0,0,0.2,0.14
5.0,Lille,17,9,8,52,36,16,60,Nantes,13.0,04.01.2025,18:00,home,1,1,D,draw,1.22,1.33,0.71,0.29,13,6,3,2,2.0,1.0,2,0,0.9,0.76,1.0,2.0,4,3,6,1,11.0,4.0,2.0,2.0,1.0,0.0,36.0,14.0,1,1,10,6,0.77,0.59,0.27,0.17,23,18,6,10,0.47,0.65,13.0,35.0,6.0,11.0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,11,1,0,0,0.16666666666666666,0.16666666666666666,0.25,0.0,0.5,0,0.0,0,0.16666666666666666,0.11666666666666667
5.0,Lille,17,9,8,52,36,16,60,Marseille,2.0,04.05.2025,19:45,home,1,1,D,draw,0.46,1.17,0.4,0.6,5,13,1,6,1.0,2.0,2,5,0.86,0.91,2.0,2.0,3,2,1,5,3.0,11.0,2.0,2.0,0.0,0.0,5.0,25.0,5,0,8,9,0.65,0.8,0.17,0.11,14,15,9,8,0.65,0.75,26.0,6.0,2.0,9.0,5,0,0.0,0.0,0.0,0.0,0.37,1.22,1.0,0.0,0.42,0.68,0.34,0.65,30.0,33.0,1.0,0.0,0.0,1.0,1.22,0.37,0.13,-0.63,5,7,1,0,0,0.14285714285714285,0.14285714285714285,0.2,0.0,0.5,0,0.0,0,0.14285714285714285,0.09999999999999999
5.0,Lille,17,9,8,52,36,16,60,Lyon,6.0,05.04.2025,20:05,away,1,2,L,opponent,0.91,1.82,0.44,0.56,10,10,4,4,1.0,2.0,3,1,0.86,0.89,2.0,3.0,5,4,1,2,7.0,5.0,3.0,5.0,0.0,0.0,19.0,19.0,1,1,15,14,0.67,0.68,0.38,0.18,15,17,14,15,0.53,0.59,17.0,15.0,8.0,14.0,2,3,1.0,0.0,0.0,0.0,1.12,1.6,0.0,0.0,0.67,0.46,0.57,0.99,59.0,37.0,1.0,0.0,0.0,0.0,1.6,1.12,-0.4,0.12,5,6,0,2,2,0.125,0.125,0.2,0.0,0.0,0,0.0,-1,0.125,0.0875
