Rank,Team,Wins,Draws,Loses,Team_goals,Opponents_goals,Goal_difference,Points,Opponent,opponent_rank,Date,Time,Home/Away,team_goals,opponent_goals,Outcome,Target_Winner,stat_Expected_Goals_xG_team,stat_Expected_Goals_xG_opponent,stat_Ball_Possession_team,stat_Ball_Possession_opponent,stat_Total_shots_team,stat_Total_shots_opponent,stat_Shots_on_target_team,stat_Shots_on_target_opponent,stat_Big_Chances_team,stat_Big_Chances_opponent,stat_Corner_Kicks_team,stat_Corner_Kicks_opponent,stat_Passes_team,stat_Passes_opponent,stat_Yellow_Cards_team,stat_Yellow_Cards_opponent,stat_xG_on_target_xGOT_team,stat_xG_on_target_xGOT_opponent,stat_Shots_off_target_team,stat_Shots_off_target_opponent,stat_Blocked_Shots_team,stat_Blocked_Shots_opponent,stat_Shots_inside_the_Box_team,stat_Shots_inside_the_Box_opponent,stat_Shots_outside_the_Box_team,stat_Shots_outside_the_Box_opponent,stat_Hit_the_Woodwork_team,stat_Hit_the_Woodwork_opponent,stat_Headed_Goals_team,stat_Headed_Goals_opponent,stat_Touches_in_opposition_box_team,stat_Touches_in_opposition_box_opponent,stat_Accurate_through_passes_team,stat_Accurate_through_passes_opponent,stat_Offsides_team,stat_Offsides_opponent,stat_Free_Kicks_team,stat_Free_Kicks_opponent,stat_Long_passes_team,stat_Long_passes_opponent,stat_Passes_in_final_third_team,stat_Passes_in_final_third_opponent,stat_Crosses_team,stat_Crosses_opponent,stat_Expected_assists_xA_team,stat_Expected_assists_xA_opponent,stat_Throw-ins_team,stat_Throw-ins_opponent,stat_Fouls_team,stat_Fouls_opponent,stat_Tackles_team,stat_Tackles_opponent,stat_Duels_won_team,stat_Duels_won_opponent,stat_Clearances_team,stat_Clearances_opponent,stat_Interceptions_team,stat_Interceptions_opponent,stat_Errors_leading_to_shot_team,stat_Errors_leading_to_shot_opponent,stat_Errors_leading_to_goal_team,stat_Errors_leading_to_goal_opponent,stat_Goalkeeper_Saves_team,stat_Goalkeeper_Saves_opponent,stat_xGOT_faced_team,stat_xGOT_faced_opponent,stat_Goals_prevented_team,stat_Goals_prevented_opponent,stat_Red_Cards_team,stat_Red_Cards_opponent,Team_encoded,Opponent_encoded,Home_encoded,Outcome_encoded,Target_encoded,win_rate_global,win_rate_lastN,home_win_rate,away_win_rate,h2h_win_rate,win_streak,form_score,goal_diff,goal_diff_win_rate,weighted_outcome
8.0,Antwerp,2,3,2,9,9,0,9,KV Mechelen,3.0,24.08.2025,12:30,home,2,1,W,team,1.05,2.51,0.4,0.6,9,25,2,8,2,5,6,13,0.81,0.84,0.0,3.0,1.09,1.41,4,11,3,6,4,16,5,9,0,0,0.0,0.0,12,36,0,0,1,1,8,13,0.42,0.43,0.59,0.72,0.25,0.3,0.38,1.98,11,21,13,8,0.46,0.92,58,43,38,16,13,5,0,0,1,0,7,0,1.41,1.09,0.41,-0.91,1.0,0.0,1,8,1,1,1,0.4,0.4,0.6666666666666666,0.0,0.5,1,0.3,1,0.4,0.37000000000000005
8.0,Antwerp,2,3,2,9,9,0,9,Royale Union SG,1.0,25.07.2025,19:45,home,1,1,D,draw,0.51,2.1,0.43,0.57,8,17,4,8,1,3,2,5,0.77,0.83,3.0,3.0,0.7,2.55,3,7,1,2,7,13,1,4,0,1,0.0,0.0,12,21,0,1,5,1,16,9,0.36,0.53,0.64,0.63,0.44,0.35,0.6,1.13,22,20,9,16,0.57,0.68,60,50,25,28,12,4,1,0,0,0,7,3,2.55,0.7,1.55,-0.3,0.0,0.0,1,11,1,0,0,0.3333333333333333,0.4,0.5,0.0,0.5,0,0.2,0,0.4,0.34
8.0,Antwerp,2,3,2,9,9,0,9,Westerlo,6.0,30.08.2025,17:15,away,0,2,L,opponent,1.59,2.66,0.61,0.39,13,16,3,9,2,4,4,5,0.82,0.8,3.0,2.0,0.85,1.85,5,5,5,2,6,12,7,4,0,1,0.0,0.0,19,24,0,0,3,1,18,13,0.45,0.42,0.62,0.71,0.19,0.31,0.81,1.22,17,9,14,19,0.52,0.45,62,50,17,36,6,10,2,0,1,0,7,3,1.85,0.85,-0.15,0.85,0.0,0.0,1,15,0,2,2,0.2857142857142857,0.2,0.5,0.0,0.5,0,0.1,-2,0.2,0.17
9.0,Cercle Brugge KSV,2,2,3,10,9,1,8,Anderlecht,4.0,03.08.2025,15:00,home,0,2,L,opponent,0.65,1.57,0.53,0.47,12,9,2,5,0,3,5,3,0.81,0.74,2.0,2.0,0.09,2.52,5,3,5,1,7,6,5,3,0,0,0.0,0.0,19,27,1,1,2,2,21,7,0.38,0.38,0.62,0.61,0.32,0.22,1.0,1.79,26,30,7,21,0.56,0.76,54,43,28,25,11,7,0,0,0,0,3,2,2.52,0.09,0.52,0.09,0.0,0.0,2,0,1,2,2,0.0,0.0,0.0,0.5,0.5,0,0.0,-2,0.0,0.0
9.0,Cercle Brugge KSV,2,2,3,10,9,1,8,Club Brugge KV,5.0,09.08.2025,15:00,away,0,2,L,opponent,0.94,1.74,0.35,0.65,10,14,2,5,3,3,5,9,0.76,0.87,3.0,2.0,0.34,1.13,7,4,1,5,8,9,2,5,0,0,0.0,1.0,21,32,0,0,1,3,15,8,0.33,0.68,0.65,0.76,0.22,0.05,1.0,1.01,16,18,11,15,0.67,0.58,42,41,32,23,7,1,0,0,1,0,3,2,1.13,0.34,-0.87,0.34,1.0,0.0,2,4,0,2,2,0.0,0.0,0.0,0.0,0.5,0,0.0,-2,0.0,0.0
9.0,Cercle Brugge KSV,2,2,3,10,9,1,8,Charleroi,7.0,14.09.2025,15:00,home,2,3,L,opponent,1.84,1.33,0.57,0.43,8,9,2,4,2,1,4,3,0.75,0.71,1.0,2.0,1.64,1.09,4,3,2,2,4,6,4,3,0,0,0.0,1.0,28,17,0,0,2,3,11,7,0.48,0.47,0.58,0.62,0.23,0.29,0.64,0.92,37,21,7,12,0.64,0.62,44,45,21,51,5,13,0,0,1,0,1,0,1.09,1.64,-1.91,-0.36,0.0,0.0,2,3,1,2,2,0.0,0.0,0.0,0.0,0.5,0,0.0,-1,0.0,0.0
9.0,Cercle Brugge KSV,2,2,3,10,9,1,8,Westerlo,6.0,17.08.2025,18:15,home,4,1,W,team,2.06,1.48,0.47,0.53,12,25,7,6,5,0,1,11,0.77,0.71,0.0,1.0,2.47,1.44,3,15,2,4,10,13,2,12,0,1,0.0,0.0,20,34,0,0,3,0,16,8,0.45,0.44,0.68,0.54,0.2,0.5,0.82,0.98,15,31,10,16,0.73,0.58,76,60,45,13,12,6,0,0,0,0,5,3,1.44,2.47,0.44,-1.53,0.0,0.0,2,15,1,1,1,0.25,0.25,0.3333333333333333,0.0,0.5,1,0.3,3,0.25,0.265
9.0,Cercle Brugge KSV,2,2,3,10,9,1,8,St. Liege,12.0,23.08.2025,17:15,away,3,0,W,team,2.88,1.17,0.44,0.56,18,15,10,3,9,0,3,4,0.73,0.8,3.0,1.0,2.38,0.27,4,7,4,5,14,9,4,6,1,1,1.0,0.0,27,28,1,0,3,2,4,10,0.3,0.49,0.59,0.75,0.29,0.22,0.59,0.87,32,23,12,4,0.72,0.75,52,60,26,42,10,13,0,0,0,1,3,7,0.27,2.38,0.27,-0.62,0.0,0.0,2,12,0,1,1,0.4,0.4,0.3333333333333333,0.5,0.5,2,0.5,3,0.4,0.43
9.0,Cercle Brugge KSV,2,2,3,10,9,1,8,Dender,16.0,26.07.2025,15:00,away,0,0,D,draw,1.14,1.36,0.45,0.55,10,11,2,3,2,2,3,3,0.69,0.7,2.0,0.0,0.28,0.86,6,6,2,2,8,10,2,1,0,1,0.0,0.0,21,27,0,1,4,4,12,13,0.35,0.35,0.45,0.56,0.27,0.4,0.54,0.89,24,24,13,12,0.39,0.68,67,71,31,31,10,9,0,0,0,0,3,2,0.86,0.28,0.86,0.28,0.0,0.0,2,5,0,0,0,0.3333333333333333,0.4,0.3333333333333333,0.3333333333333333,0.5,0,0.30000000000000004,0,0.4,0.37000000000000005
9.0,Cercle Brugge KSV,2,2,3,10,9,1,8,St. Truiden,2.0,29.08.2025,19:45,home,1,1,D,draw,1.27,2.06,0.51,0.49,13,17,4,5,3,3,3,8,0.71,0.74,2.0,1.0,0.99,1.07,4,10,5,2,9,9,4,8,0,0,0.0,0.0,32,22,0,1,1,1,9,8,0.34,0.51,0.64,0.66,0.32,0.26,1.33,1.28,25,30,8,9,0.65,0.59,58,51,26,47,15,13,0,0,0,0,4,3,1.07,0.99,0.07,-0.01,0.0,0.0,2,13,1,0,0,0.2857142857142857,0.4,0.25,0.3333333333333333,0.5,0,0.1,0,0.4,0.31000000000000005
