Rank,Team,Wins,Draws,Loses,Team_goals,Opponents_goals,Goal_difference,Points,Opponent,opponent_rank,Date,Time,Home/Away,team_goals,opponent_goals,Outcome,Target_Winner,stat_Expected_Goals_xG_team,stat_Expected_Goals_xG_opponent,stat_Ball_Possession_team,stat_Ball_Possession_opponent,stat_Total_shots_team,stat_Total_shots_opponent,stat_Shots_on_target_team,stat_Shots_on_target_opponent,stat_Corner_Kicks_team,stat_Corner_Kicks_opponent,stat_Passes_team,stat_Passes_opponent,stat_Yellow_Cards_team,stat_Yellow_Cards_opponent,stat_Shots_off_target_team,stat_Shots_off_target_opponent,stat_Blocked_Shots_team,stat_Blocked_Shots_opponent,stat_Offsides_team,stat_Offsides_opponent,stat_Free_Kicks_team,stat_Free_Kicks_opponent,stat_Fouls_team,stat_Fouls_opponent,stat_Goalkeeper_Saves_team,stat_Goalkeeper_Saves_opponent,stat_Big_Chances_team,stat_Big_Chances_opponent,stat_Shots_inside_the_Box_team,stat_Shots_inside_the_Box_opponent,stat_Shots_outside_the_Box_team,stat_Shots_outside_the_Box_opponent,stat_Hit_the_Woodwork_team,stat_Hit_the_Woodwork_opponent,stat_Touches_in_opposition_box_team,stat_Touches_in_opposition_box_opponent,stat_Passes_in_final_third_team,stat_Passes_in_final_third_opponent,stat_Crosses_team,stat_Crosses_opponent,stat_Throw-ins_team,stat_Throw-ins_opponent,stat_Tackles_team,stat_Tackles_opponent,stat_Clearances_team,stat_Clearances_opponent,stat_Interceptions_team,stat_Interceptions_opponent,stat_Red_Cards_team,stat_Red_Cards_opponent,stat_Headed_Goals_team,stat_Headed_Goals_opponent,stat_xG_on_target_xGOT_team,stat_xG_on_target_xGOT_opponent,stat_Accurate_through_passes_team,stat_Accurate_through_passes_opponent,stat_Long_passes_team,stat_Long_passes_opponent,stat_Expected_assists_xA_team,stat_Expected_assists_xA_opponent,stat_Duels_won_team,stat_Duels_won_opponent,stat_Errors_leading_to_shot_team,stat_Errors_leading_to_shot_opponent,stat_Errors_leading_to_goal_team,stat_Errors_leading_to_goal_opponent,stat_xGOT_faced_team,stat_xGOT_faced_opponent,stat_Goals_prevented_team,stat_Goals_prevented_opponent,Team_encoded,Opponent_encoded,Home_encoded,Outcome_encoded,Target_encoded,win_rate_global,win_rate_lastN,home_win_rate,away_win_rate,h2h_win_rate,win_streak,form_score,goal_diff,goal_diff_win_rate,weighted_outcome
3.0,Arsenal,6,1,1,16,3,13,19,PSG,15.0,01.10.2024,20:00,home,2,0,W,team,0.99,0.38,0.38,0.62,7,10,5,2,1,5,0.82,0.88,1.0,1.0,1,7,1,1,3,1,9,11,8,8,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,24,1,1,1,1.0,1.0,1.0,0.5,0.5,1,0.1,2,1.0,0.73
3.0,Arsenal,6,1,1,16,3,13,19,PSV,14.0,04.03.2025,20:00,away,7,1,W,team,1.91,1.38,0.47,0.53,15,12,8,2,3,5,0.82,0.82,3.0,1.0,4,6,3,4,4,1,9,10,10,9,1,1,6.0,4.0,11.0,8.0,4.0,4.0,0.0,1.0,34.0,18.0,0.72,0.71,0.5,0.12,9.0,18.0,0.78,0.6,26.0,16.0,12.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,25,0,1,1,1.0,1.0,1.0,1.0,0.5,2,0.30000000000000004,6,1.0,0.79
3.0,Arsenal,6,1,1,16,3,13,19,Inter,4.0,06.11.2024,20:00,away,0,1,L,opponent,1.8,1.19,0.63,0.37,20,7,4,1,13,0,0.86,0.75,3.0,3.0,6,4,10,2,1,1,12,21,21,12,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,15.0,0.0,0.0,0.0,0.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,18,0,2,2,0.6666666666666666,0.6666666666666666,1.0,0.5,0.5,0,0.30000000000000004,-1,0.6666666666666666,0.5566666666666666
3.0,Arsenal,6,1,1,16,3,13,19,PSG,15.0,07.05.2025,20:00,away,1,2,L,opponent,2.9,1.74,0.54,0.46,19,11,4,6,6,2,0.8,0.76,4.0,2.0,7,3,8,2,1,1,11,11,11,11,4,3,4.0,2.0,17.0,9.0,2.0,2.0,0.0,1.0,42.0,24.0,0.74,0.71,0.33,0.0,26.0,17.0,0.31,0.47,8.0,46.0,6.0,7.0,0.0,0.0,0.0,0.0,1.83,3.56,0.0,1.0,0.43,0.33,1.48,0.73,50.0,67.0,2.0,0.0,0.0,1.0,3.56,1.83,1.56,0.83,1,24,0,2,2,0.5,0.5,1.0,0.3333333333333333,1.0,0,0.1,-1,0.5,0.38
3.0,Arsenal,6,1,1,16,3,13,19,Real Madrid,11.0,08.04.2025,20:00,home,3,0,W,team,1.61,0.5,0.54,0.47,12,9,11,3,5,3,0.9,0.86,1.0,2.0,0,4,1,2,0,2,9,8,8,9,3,8,2.0,0.0,9.0,5.0,3.0,4.0,0.0,0.0,36.0,13.0,0.78,0.81,0.16,0.13,15.0,15.0,0.5,0.93,10.0,24.0,4.0,7.0,0.0,1.0,0.0,0.0,2.76,0.24,2.0,1.0,0.4,0.44,1.67,0.51,33.0,38.0,0.0,0.0,0.0,0.0,0.24,2.76,0.24,-0.23,1,27,1,1,1,0.6,0.6,1.0,0.3333333333333333,0.5,1,0.3,3,0.6,0.51
3.0,Arsenal,6,1,1,16,3,13,19,Monaco,17.0,11.12.2024,20:00,home,3,0,W,team,2.29,0.38,0.55,0.45,16,7,8,2,3,1,0.88,0.86,2.0,1.0,6,5,2,0,2,3,7,12,12,7,2,5,6.0,1.0,14.0,3.0,2.0,4.0,0.0,0.0,30.0,9.0,0.79,0.81,0.43,0.11,12.0,24.0,0.45,0.6,7.0,11.0,11.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,23,1,1,1,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,0.5,2,0.5,3,0.6666666666666666,0.6166666666666666
3.0,Arsenal,6,1,1,16,3,13,19,PSV,14.0,12.03.2025,20:00,home,2,2,D,draw,1.25,1.48,0.51,0.49,9,13,7,5,5,4,0.87,0.87,3.0,1.0,1,5,1,3,0,1,9,9,9,9,3,5,5.0,2.0,6.0,8.0,3.0,5.0,1.0,0.0,20.0,15.0,0.72,0.7,0.27,0.22,13.0,9.0,0.63,0.67,9.0,14.0,2.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,25,1,0,0,0.5714285714285714,0.5714285714285714,0.75,0.3333333333333333,1.0,0,0.30000000000000004,0,0.5714285714285714,0.49
3.0,Arsenal,6,1,1,16,3,13,19,Real Madrid,11.0,16.04.2025,20:00,away,2,1,W,team,2.05,1.41,0.34,0.66,12,18,6,3,4,10,0.77,0.86,2.0,3.0,4,5,2,10,1,2,18,15,15,18,2,4,3.0,1.0,11.0,9.0,1.0,9.0,0.0,0.0,23.0,34.0,0.67,0.78,0.25,0.16,11.0,16.0,0.46,0.75,37.0,12.0,12.0,2.0,0.0,0.0,0.0,0.0,1.98,1.38,3.0,0.0,0.33,0.36,1.01,0.74,47.0,54.0,2.0,0.0,1.0,0.0,1.38,1.98,0.38,-0.02,1,27,0,1,1,0.625,0.625,0.75,0.5,1.0,1,0.4,1,0.625,0.5575
3.0,Arsenal,6,1,1,16,3,13,19,Atalanta,9.0,19.09.2024,20:00,away,0,0,D,draw,0.65,1.75,0.49,0.51,6,7,2,2,2,4,0.84,0.84,0.0,1.0,3,4,1,1,3,0,7,13,11,7,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,0,0,0,0.5555555555555556,0.5555555555555556,0.75,0.4,0.5,0,0.2,0,0.5555555555555556,0.4488888888888889
3.0,Arsenal,6,1,1,16,3,13,19,D. Zagreb,25.0,22.01.2025,20:00,home,3,0,W,team,2.48,0.13,0.63,0.37,17,5,4,0,11,3,0.9,0.8,2.0,2.0,5,1,8,4,1,2,7,9,9,7,0,1,5.0,0.0,14.0,2.0,3.0,3.0,0.0,0.0,43.0,9.0,0.86,0.69,0.44,0.18,21.0,14.0,0.67,0.7,12.0,28.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,14,1,1,1,0.6,0.6,0.8,0.4,0.5,1,0.4,3,0.6,0.54
3.0,Arsenal,6,1,1,16,3,13,19,Shakhtar Donetsk,27.0,22.10.2024,20:00,home,1,0,W,team,1.98,0.67,0.56,0.44,13,9,5,1,5,3,0.9,0.87,2.0,1.0,6,4,2,4,0,1,10,7,7,10,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,8.0,0.0,0.0,0.0,0.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,29,1,1,1,0.6363636363636364,0.6,0.8333333333333334,0.4,0.5,2,0.5,1,0.6,0.57
3.0,Arsenal,6,1,1,16,3,13,19,Sporting CP,23.0,26.11.2024,20:00,away,5,1,W,team,3.89,0.96,0.48,0.52,13,19,9,8,3,8,0.88,0.9,1.0,1.0,2,8,2,3,1,0,6,8,8,6,7,4,5.0,0.0,10.0,9.0,3.0,10.0,0.0,1.0,35.0,19.0,0.8,0.85,0.5,0.33,17.0,12.0,0.5,0.61,10.0,16.0,7.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,32,0,1,1,0.6666666666666666,0.6,0.8333333333333334,0.5,0.5,3,0.6,4,0.6,0.6
3.0,Arsenal,6,1,1,16,3,13,19,Girona,33.0,29.01.2025,20:00,away,2,1,W,team,2.16,0.77,0.61,0.39,16,7,6,3,13,3,0.86,0.84,2.0,4.0,6,1,4,3,2,1,13,13,13,13,2,4,2.0,1.0,11.0,5.0,5.0,2.0,1.0,0.0,40.0,13.0,0.81,0.75,0.17,0.25,12.0,8.0,0.44,0.64,8.0,32.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,17,0,1,1,0.6923076923076923,0.7,0.8333333333333334,0.5714285714285714,0.5,4,0.6,1,0.7,0.67
