Rank,Team,Wins,Draws,Loses,Team_goals,Opponents_goals,Goal_difference,Points,Opponent,opponent_rank,Date,Time,Home/Away,team_goals,opponent_goals,Outcome,Target_Winner,stat_Expected_Goals_xG_team,stat_Expected_Goals_xG_opponent,stat_Ball_Possession_team,stat_Ball_Possession_opponent,stat_Total_shots_team,stat_Total_shots_opponent,stat_Shots_on_target_team,stat_Shots_on_target_opponent,stat_Big_Chances_team,stat_Big_Chances_opponent,stat_Corner_Kicks_team,stat_Corner_Kicks_opponent,stat_Passes_team,stat_Passes_opponent,stat_Yellow_Cards_team,stat_Yellow_Cards_opponent,stat_Shots_off_target_team,stat_Shots_off_target_opponent,stat_Blocked_Shots_team,stat_Blocked_Shots_opponent,stat_Shots_inside_the_Box_team,stat_Shots_inside_the_Box_opponent,stat_Shots_outside_the_Box_team,stat_Shots_outside_the_Box_opponent,stat_Hit_the_Woodwork_team,stat_Hit_the_Woodwork_opponent,stat_Touches_in_opposition_box_team,stat_Touches_in_opposition_box_opponent,stat_Offsides_team,stat_Offsides_opponent,stat_Free_Kicks_team,stat_Free_Kicks_opponent,stat_Passes_in_final_third_team,stat_Passes_in_final_third_opponent,stat_Crosses_team,stat_Crosses_opponent,stat_Throw-ins_team,stat_Throw-ins_opponent,stat_Fouls_team,stat_Fouls_opponent,stat_Tackles_team,stat_Tackles_opponent,stat_Clearances_team,stat_Clearances_opponent,stat_Interceptions_team,stat_Interceptions_opponent,stat_Goalkeeper_Saves_team,stat_Goalkeeper_Saves_opponent,stat_Red_Cards_team,stat_Red_Cards_opponent,stat_Headed_Goals_team,stat_Headed_Goals_opponent,stat_xG_on_target_xGOT_team,stat_xG_on_target_xGOT_opponent,stat_Accurate_through_passes_team,stat_Accurate_through_passes_opponent,stat_Long_passes_team,stat_Long_passes_opponent,stat_Expected_assists_xA_team,stat_Expected_assists_xA_opponent,stat_Duels_won_team,stat_Duels_won_opponent,stat_Errors_leading_to_shot_team,stat_Errors_leading_to_shot_opponent,stat_Errors_leading_to_goal_team,stat_Errors_leading_to_goal_opponent,stat_xGOT_faced_team,stat_xGOT_faced_opponent,stat_Goals_prevented_team,stat_Goals_prevented_opponent,Team_encoded,Opponent_encoded,Home_encoded,Outcome_encoded,Target_encoded,win_rate_global,win_rate_lastN,home_win_rate,away_win_rate,h2h_win_rate,win_streak,form_score,goal_diff,goal_diff_win_rate,weighted_outcome
6.0,Betis,16,12,10,57,50,7,60,Villarreal,5.0,13.04.2025,17:30,home,1,2,L,opponent,1.88,1.45,0.68,0.32,24,8,5,2,2.0,2.0,5,5,0.89,0.76,0.0,4.0,8,2,11,4,15.0,6.0,9.0,2.0,0.0,1.0,42.0,18.0,1,1,13,4,0.88,0.63,0.15,0.13,24,15,4,13,0.69,0.53,16.0,37.0,4.0,8.0,0,4,0.0,0.0,0.0,0.0,1.17,1.31,2.0,1.0,0.73,0.43,1.92,0.55,53.0,40.0,0.0,0.0,0.0,0.0,1.31,1.17,-0.69,0.17,4,19,1,2,2,0.2,0.2,0.2857142857142857,0.125,0.5,0,0.0,-1,0.2,0.14
6.0,Betis,16,12,10,57,50,7,60,Leganes,18.0,13.09.2024,20:00,home,2,0,W,team,1.82,0.07,0.64,0.36,14,3,5,0,0.0,0.0,11,1,0.0,0.0,1.0,2.0,6,2,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,20,13,0.0,0.0,0.0,0.0,18,7,11,18,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,10,1,1,1,0.25,0.2,0.375,0.125,0.5,1,0.3,2,0.2,0.23
6.0,Betis,16,12,10,57,50,7,60,Rayo Vallecano,8.0,15.05.2025,18:00,away,2,2,D,draw,1.17,1.1,0.47,0.53,10,20,3,6,1.0,2.0,7,10,0.8,0.81,3.0,1.0,4,8,3,6,4.0,6.0,6.0,14.0,0.0,1.0,12.0,27.0,0,3,8,18,0.64,0.7,0.0,0.38,16,16,18,8,0.5,0.75,25.0,20.0,5.0,12.0,4,1,0.0,0.0,0.0,1.0,1.59,1.01,0.0,0.0,0.52,0.47,0.18,0.77,41.0,51.0,0.0,0.0,0.0,0.0,1.01,1.59,-0.99,-0.41,4,13,0,0,0,0.23529411764705882,0.2,0.375,0.1111111111111111,0.5,0,0.2,0,0.2,0.2
6.0,Betis,16,12,10,57,50,7,60,Girona,16.0,15.08.2024,20:30,home,1,1,D,draw,1.44,1.41,0.39,0.61,19,13,4,2,0.0,0.0,4,4,0.0,0.0,2.0,0.0,10,7,5,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,11,13,0.0,0.0,0.0,0.0,19,28,11,7,0.0,0.0,0.0,0.0,0.0,0.0,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,8,1,0,0,0.2222222222222222,0.2,0.3333333333333333,0.1111111111111111,0.5,0,0.1,0,0.2,0.17
6.0,Betis,16,12,10,57,50,7,60,Villarreal,5.0,15.12.2024,17:30,away,2,1,W,team,0.6,2.01,0.39,0.61,10,17,4,4,3.0,2.0,5,5,0.79,0.87,4.0,5.0,3,9,3,4,6.0,13.0,4.0,4.0,0.0,0.0,14.0,32.0,0,3,19,10,0.71,0.75,0.12,0.15,13,19,10,19,0.56,0.63,43.0,12.0,15.0,7.0,3,2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,19,0,1,1,0.2631578947368421,0.3,0.3333333333333333,0.2,0.0,1,0.3,1,0.3,0.3
6.0,Betis,16,12,10,57,50,7,60,Real Sociedad,11.0,16.02.2025,20:00,home,3,0,W,team,2.45,0.34,0.69,0.31,24,5,8,1,3.0,0.0,5,5,0.9,0.67,0.0,2.0,7,3,9,1,13.0,2.0,11.0,3.0,1.0,2.0,33.0,12.0,0,2,15,9,0.86,0.51,0.18,0.15,11,18,9,15,0.92,0.67,26.0,21.0,4.0,7.0,1,5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,15,1,1,1,0.3,0.4,0.4,0.2,0.0,2,0.5,3,0.4,0.43
6.0,Betis,16,12,10,57,50,7,60,Leganes,18.0,16.03.2025,13:00,away,3,2,W,team,2.69,1.04,0.65,0.35,21,10,6,4,5.0,3.0,7,3,0.84,0.76,1.0,2.0,6,2,9,4,15.0,7.0,6.0,3.0,0.0,0.0,26.0,10.0,1,4,16,5,0.75,0.54,0.29,0.58,27,20,5,16,0.75,0.6,16.0,27.0,5.0,8.0,2,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,10,0,1,1,0.3333333333333333,0.4,0.4,0.2727272727272727,1.0,3,0.6,1,0.4,0.46
6.0,Betis,16,12,10,57,50,7,60,Alaves,15.0,18.01.2025,17:30,home,1,3,L,opponent,0.48,1.41,0.5,0.5,7,9,2,5,0.0,3.0,2,3,0.79,0.78,4.0,5.0,0,3,5,1,6.0,6.0,1.0,3.0,0.0,0.0,18.0,19.0,0,1,24,12,0.65,0.56,0.27,0.18,28,29,12,24,0.4,0.66,28.0,20.0,10.0,10.0,2,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,1,2,2,0.3181818181818182,0.4,0.36363636363636365,0.2727272727272727,0.5,0,0.30000000000000004,-2,0.4,0.37000000000000005
6.0,Betis,16,12,10,57,50,7,60,Atl. Madrid,3.0,18.05.2025,18:00,away,1,4,L,opponent,0.91,4.76,0.55,0.45,12,20,7,11,1.0,10.0,4,7,0.89,0.85,1.0,1.0,4,7,1,2,7.0,17.0,5.0,3.0,1.0,1.0,19.0,46.0,1,2,12,9,0.82,0.71,0.19,0.24,13,16,9,12,0.73,0.6,28.0,18.0,7.0,9.0,7,6,0.0,0.0,0.0,1.0,1.75,5.72,2.0,0.0,0.6,0.59,1.05,2.17,39.0,36.0,0.0,0.0,2.0,0.0,5.72,1.75,1.72,0.75,4,2,0,2,2,0.30434782608695654,0.4,0.36363636363636365,0.25,0.5,0,0.1,-3,0.4,0.31000000000000005
6.0,Betis,16,12,10,57,50,7,60,Getafe,13.0,18.09.2024,18:00,home,2,1,W,team,2.71,0.99,0.66,0.34,18,15,8,5,0.0,0.0,8,4,0.0,0.0,3.0,5.0,5,8,5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,23,11,0.0,0.0,0.0,0.0,22,22,10,20,0.0,0.0,0.0,0.0,0.0,0.0,4,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,7,1,1,1,0.3333333333333333,0.5,0.4166666666666667,0.25,0.5,1,0.3,1,0.5,0.43999999999999995
