Rank,Team,Wins,Draws,Loses,Team_goals,Opponents_goals,Goal_difference,Points,Opponent,opponent_rank,Date,Time,Home/Away,team_goals,opponent_goals,Outcome,Target_Winner,stat_Expected_Goals_xG_team,stat_Expected_Goals_xG_opponent,stat_Ball_Possession_team,stat_Ball_Possession_opponent,stat_Total_shots_team,stat_Total_shots_opponent,stat_Shots_on_target_team,stat_Shots_on_target_opponent,stat_Corner_Kicks_team,stat_Corner_Kicks_opponent,stat_Passes_team,stat_Passes_opponent,stat_Yellow_Cards_team,stat_Yellow_Cards_opponent,stat_Shots_off_target_team,stat_Shots_off_target_opponent,stat_Blocked_Shots_team,stat_Blocked_Shots_opponent,stat_Offsides_team,stat_Offsides_opponent,stat_Free_Kicks_team,stat_Free_Kicks_opponent,stat_Throw-ins_team,stat_Throw-ins_opponent,stat_Fouls_team,stat_Fouls_opponent,stat_Interceptions_team,stat_Interceptions_opponent,stat_Goalkeeper_Saves_team,stat_Goalkeeper_Saves_opponent,stat_Big_Chances_team,stat_Big_Chances_opponent,stat_Shots_inside_the_Box_team,stat_Shots_inside_the_Box_opponent,stat_Shots_outside_the_Box_team,stat_Shots_outside_the_Box_opponent,stat_Hit_the_Woodwork_team,stat_Hit_the_Woodwork_opponent,stat_Headed_Goals_team,stat_Headed_Goals_opponent,stat_Touches_in_opposition_box_team,stat_Touches_in_opposition_box_opponent,stat_Passes_in_final_third_team,stat_Passes_in_final_third_opponent,stat_Crosses_team,stat_Crosses_opponent,stat_Tackles_team,stat_Tackles_opponent,stat_Clearances_team,stat_Clearances_opponent,stat_Red_Cards_team,stat_Red_Cards_opponent,stat_xG_on_target_xGOT_team,stat_xG_on_target_xGOT_opponent,stat_Accurate_through_passes_team,stat_Accurate_through_passes_opponent,stat_Long_passes_team,stat_Long_passes_opponent,stat_Expected_assists_xA_team,stat_Expected_assists_xA_opponent,stat_Duels_won_team,stat_Duels_won_opponent,stat_Errors_leading_to_shot_team,stat_Errors_leading_to_shot_opponent,stat_Errors_leading_to_goal_team,stat_Errors_leading_to_goal_opponent,stat_xGOT_faced_team,stat_xGOT_faced_opponent,stat_Goals_prevented_team,stat_Goals_prevented_opponent
7.0,Famalicao,12,11,11,44,39,5,47,Santa Clara,5.0,10.05.2025,15:30,away,1,2,L,opponent,1.39,3.3,0.53,0.47,12.0,16.0,4.0,5.0,6.0,3.0,0.84,0.85,2.0,7.0,2.0,9.0,6.0,2.0,0.0,3.0,23.0,14.0,29.0,23.0,14.0,23.0,4.0,12.0,3.0,3.0,1.0,8.0,6.0,11.0,6.0,5.0,0.0,0.0,0.0,0.0,22.0,23.0,0.69,0.71,0.27,0.23,0.72,0.79,12.0,30.0,1.0,1.0,1.56,2.3,0.0,1.0,0.53,0.57,0.69,1.05,58.0,48.0,1.0,0.0,0.0,0.0,2.3,1.56,0.03,0.58
7.0,Famalicao,12,11,11,44,39,5,47,Benfica,2.0,11.08.2024,18:00,home,2,0,W,team,1.69,0.43,0.38,0.62,9.0,10.0,5.0,1.0,0.0,7.0,0.0,0.0,3.0,4.0,4.0,6.0,0.0,3.0,2.0,4.0,10.0,4.0,16.0,15.0,8.0,13.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,Famalicao,12,11,11,44,39,5,47,Estoril,8.0,12.04.2025,15:30,home,3,0,W,team,2.17,0.4,0.42,0.58,9.0,6.0,4.0,2.0,3.0,8.0,0.74,0.8,3.0,4.0,5.0,2.0,0.0,2.0,3.0,0.0,22.0,20.0,15.0,21.0,20.0,22.0,7.0,2.0,2.0,1.0,7.0,1.0,8.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,17.0,18.0,0.58,0.62,0.22,0.1,0.64,0.86,28.0,18.0,0.0,0.0,1.47,0.21,1.0,1.0,0.35,0.45,1.62,0.49,51.0,56.0,1.0,0.0,0.0,1.0,0.21,1.47,0.18,-1.53
7.0,Famalicao,12,11,11,44,39,5,47,Gil Vicente,13.0,14.09.2024,20:30,home,1,1,D,draw,1.09,0.69,0.59,0.41,13.0,8.0,4.0,3.0,8.0,1.0,0.0,0.0,1.0,0.0,4.0,4.0,5.0,1.0,1.0,4.0,24.0,14.0,16.0,28.0,11.0,16.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,Famalicao,12,11,11,44,39,5,47,Sporting CP,1.0,15.03.2025,20:30,away,1,3,L,opponent,1.04,3.85,0.47,0.53,9.0,18.0,3.0,9.0,4.0,11.0,0.82,0.86,1.0,4.0,4.0,6.0,2.0,3.0,1.0,0.0,10.0,13.0,20.0,21.0,13.0,10.0,9.0,5.0,6.0,2.0,1.0,6.0,4.0,14.0,5.0,4.0,0.0,1.0,0.0,0.0,17.0,50.0,0.74,0.75,0.14,0.26,0.79,0.56,29.0,26.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,Famalicao,12,11,11,44,39,5,47,Casa Pia,9.0,16.05.2025,19:00,home,2,1,W,team,3.45,0.26,0.55,0.45,18.0,5.0,4.0,1.0,13.0,4.0,0.82,0.77,2.0,6.0,9.0,2.0,5.0,2.0,1.0,0.0,15.0,14.0,19.0,22.0,14.0,15.0,4.0,14.0,0.0,2.0,4.0,0.0,14.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,36.0,6.0,0.68,0.54,0.38,0.2,0.7,0.47,29.0,30.0,0.0,0.0,2.49,0.33,1.0,0.0,0.63,0.33,1.39,0.22,50.0,41.0,0.0,0.0,0.0,0.0,0.33,2.49,-0.67,0.49
7.0,Famalicao,12,11,11,44,39,5,47,Braga,4.0,16.12.2024,18:45,away,3,3,D,draw,0.83,3.02,0.44,0.56,10.0,21.0,8.0,8.0,3.0,10.0,0.77,0.84,1.0,0.0,2.0,8.0,0.0,5.0,0.0,3.0,12.0,14.0,24.0,20.0,14.0,12.0,9.0,11.0,5.0,5.0,3.0,6.0,8.0,15.0,2.0,6.0,0.0,0.0,0.0,0.0,15.0,45.0,0.63,0.7,0.3,0.24,0.56,0.56,30.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,Famalicao,12,11,11,44,39,5,47,Benfica,2.0,17.01.2025,20:15,away,0,4,L,opponent,0.1,3.9,0.42,0.58,1.0,21.0,0.0,12.0,2.0,7.0,0.77,0.86,0.0,3.0,1.0,4.0,0.0,5.0,0.0,4.0,13.0,8.0,24.0,15.0,8.0,13.0,16.0,10.0,8.0,0.0,1.0,7.0,1.0,14.0,0.0,7.0,0.0,0.0,0.0,0.0,8.0,26.0,0.61,0.68,0.25,0.11,0.56,0.57,24.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,Famalicao,12,11,11,44,39,5,47,Gil Vicente,13.0,17.02.2025,20:15,away,2,0,W,team,2.02,1.42,0.46,0.54,20.0,14.0,6.0,2.0,11.0,5.0,0.8,0.84,2.0,2.0,10.0,10.0,4.0,2.0,0.0,1.0,11.0,19.0,17.0,21.0,19.0,11.0,10.0,5.0,2.0,4.0,4.0,5.0,12.0,10.0,8.0,4.0,0.0,1.0,2.0,0.0,25.0,25.0,0.75,0.67,0.45,0.23,0.42,0.59,32.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,Famalicao,12,11,11,44,39,5,47,FC Porto,3.0,18.04.2025,18:00,away,1,2,L,opponent,0.39,0.54,0.42,0.58,12.0,8.0,4.0,6.0,5.0,4.0,0.81,0.83,3.0,2.0,5.0,2.0,3.0,0.0,2.0,1.0,17.0,13.0,19.0,19.0,13.0,17.0,5.0,10.0,4.0,3.0,0.0,1.0,4.0,4.0,8.0,4.0,0.0,0.0,0.0,0.0,10.0,17.0,0.71,0.69,0.1,0.23,0.46,0.73,20.0,29.0,0.0,1.0,0.32,1.14,0.0,0.0,0.56,0.53,0.38,0.43,50.0,40.0,0.0,0.0,0.0,0.0,1.14,0.32,-0.86,-0.68
