Rank,Wins,Draws,Loses,Team_goals,Opponents_goals,Goal_difference,Points,opponent_rank,Time,team_goals,opponent_goals,stat_Expected_Goals_xG_team,stat_Expected_Goals_xG_opponent,stat_Ball_Possession_team,stat_Ball_Possession_opponent,stat_Total_shots_team,stat_Total_shots_opponent,stat_Shots_on_target_team,stat_Shots_on_target_opponent,stat_Big_Chances_team,stat_Big_Chances_opponent,stat_Corner_Kicks_team,stat_Corner_Kicks_opponent,stat_Passes_team,stat_Passes_opponent,stat_Yellow_Cards_team,stat_Yellow_Cards_opponent,stat_xG_on_target_xGOT_team,stat_xG_on_target_xGOT_opponent,stat_Shots_off_target_team,stat_Shots_off_target_opponent,stat_Blocked_Shots_team,stat_Blocked_Shots_opponent,stat_Shots_inside_the_Box_team,stat_Shots_inside_the_Box_opponent,stat_Shots_outside_the_Box_team,stat_Shots_outside_the_Box_opponent,stat_Hit_the_Woodwork_team,stat_Hit_the_Woodwork_opponent,stat_Headed_Goals_team,stat_Headed_Goals_opponent,stat_Touches_in_opposition_box_team,stat_Touches_in_opposition_box_opponent,stat_Accurate_through_passes_team,stat_Accurate_through_passes_opponent,stat_Offsides_team,stat_Offsides_opponent,stat_Free_Kicks_team,stat_Free_Kicks_opponent,stat_Long_passes_team,stat_Long_passes_opponent,stat_Passes_in_final_third_team,stat_Passes_in_final_third_opponent,stat_Crosses_team,stat_Crosses_opponent,stat_Expected_assists_xA_team,stat_Expected_assists_xA_opponent,stat_Throw-ins_team,stat_Throw-ins_opponent,stat_Fouls_team,stat_Fouls_opponent,stat_Tackles_team,stat_Tackles_opponent,stat_Duels_won_team,stat_Duels_won_opponent,stat_Clearances_team,stat_Clearances_opponent,stat_Interceptions_team,stat_Interceptions_opponent,stat_Errors_leading_to_shot_team,stat_Errors_leading_to_shot_opponent,stat_Errors_leading_to_goal_team,stat_Errors_leading_to_goal_opponent,stat_Goalkeeper_Saves_team,stat_Goalkeeper_Saves_opponent,stat_xGOT_faced_team,stat_xGOT_faced_opponent,stat_Goals_prevented_team,stat_Goals_prevented_opponent,stat_Red_Cards_team,stat_Red_Cards_opponent
8.0,2,1,2,6,8,-2,7,10.0,0.8801955985915914,3,2,1.88,0.94,0.55,0.45,16,11,4,5,4,2,4,2,0.83,0.78,4,3,2.76,1.62,8,4,4,2,7,5,9,6,0,0,2.0,0.0,24,20,0,0,4,3,15,18,0.49,0.46,0.76,0.66,0.08,0.18,0.77,0.7,21,27,18,17,0.57,0.73,51,53,33,35,3,2,0,2,1,0,3,1,1.62,2.76,0.62,-0.24,0.0,0.0
8.0,2,1,2,6,8,-2,7,3.0,0.7823960876369701,0,2,0.26,1.49,0.51,0.49,11,10,4,4,0,3,7,3,0.8,0.79,2,5,0.3,1.69,5,3,2,3,4,7,7,3,0,1,0.0,1.0,14,16,1,0,2,0,16,17,0.36,0.39,0.69,0.62,0.21,0.13,0.99,1.47,20,19,17,17,0.42,0.63,42,50,12,34,11,9,0,0,0,0,2,4,1.69,0.3,-0.31,0.3,0.0,0.0
8.0,2,1,2,6,8,-2,7,12.0,0.8801955985915914,1,1,0.35,0.45,0.54,0.46,12,9,3,3,1,1,2,2,0.81,0.79,4,4,0.64,0.79,4,5,5,1,7,5,5,4,0,0,0.0,1.0,14,11,1,0,4,0,16,15,0.37,0.34,0.57,0.61,0.17,0.2,0.49,0.54,26,23,15,17,0.69,1.0,50,38,20,36,7,11,0,1,0,0,2,2,0.79,0.64,-0.21,-0.36,0.0,0.0
9.0,2,0,3,4,8,-4,6,2.0,0.9853300728678092,0,2,0.43,2.85,0.33,0.67,7,27,2,12,1,6,2,9,0.78,0.87,4,1,0.21,3.82,3,9,2,6,3,20,4,7,0,2,0.0,0.0,18,47,1,2,1,1,10,13,0.48,0.53,0.61,0.78,0.11,0.32,0.81,1.73,13,23,14,11,0.54,0.58,38,43,28,19,7,4,2,0,0,0,10,2,3.82,0.21,1.82,0.21,0.0,0.0
9.0,2,0,3,4,8,-4,6,12.0,0.8801955985915914,2,0,1.49,0.27,0.34,0.66,9,8,4,3,5,0,6,7,0.67,0.85,7,2,1.48,0.44,4,4,1,1,9,3,0,5,0,0,1.0,0.0,16,13,2,0,4,2,18,21,0.36,0.46,0.58,0.71,0.35,0.17,1.59,0.37,13,29,21,18,0.77,0.73,74,53,42,24,4,4,0,0,0,1,3,2,0.44,1.48,0.44,-0.52,0.0,0.0
9.0,2,0,3,4,8,-4,6,17.0,0.7481662588028526,2,0,1.51,1.23,0.49,0.51,10,10,5,3,4,1,3,1,0.7,0.71,5,4,1.12,0.48,3,4,2,3,7,3,3,7,0,0,0.0,0.0,19,13,0,0,0,2,20,20,0.21,0.35,0.48,0.45,0.11,0.43,0.8,0.3,19,26,20,20,0.75,0.76,54,61,33,40,9,7,0,0,0,0,3,3,0.48,1.12,0.48,-0.88,0.0,0.0
9.0,2,0,3,4,8,-4,6,1.0,0.8801955985915914,0,4,0.22,2.63,0.35,0.65,7,20,0,7,0,5,2,7,0.77,0.89,1,3,0.0,3.85,4,8,3,5,2,16,5,4,0,1,0.0,0.0,4,34,0,1,0,3,11,8,0.39,0.67,0.54,0.74,0.2,0.31,0.23,1.27,16,21,8,11,0.65,0.4,50,42,20,8,14,8,0,0,1,0,3,0,3.85,0.0,-0.15,0.0,0.0,0.0
9.0,2,0,3,4,8,-4,6,13.0,0.7481662588028526,0,2,0.66,1.27,0.62,0.38,9,9,3,2,1,2,2,3,0.77,0.72,2,3,0.11,1.1,4,3,2,4,4,3,5,6,0,0,0.0,1.0,12,12,0,1,0,1,21,13,0.44,0.35,0.54,0.48,0.37,0.27,0.63,0.84,22,25,13,22,0.71,0.38,69,47,22,33,1,8,2,0,1,0,0,3,1.1,0.11,-0.9,0.11,0.0,0.0
10.0,1,2,2,8,8,0,5,11.0,0.9926650361894058,0,1,0.78,2.11,0.6,0.4,15,16,4,4,1,3,5,7,0.85,0.76,4,1,0.37,2.2,10,7,1,5,9,10,6,6,1,0,0.0,0.0,18,21,1,0,0,4,9,13,0.54,0.4,0.68,0.65,0.35,0.21,0.56,0.33,24,13,16,11,0.5,0.53,45,55,24,43,4,5,0,1,0,0,3,4,2.2,0.37,1.2,0.37,0.0,0.0
10.0,1,2,2,8,8,0,5,16.0,0.9022004885563811,1,1,0.69,1.34,0.66,0.34,8,9,3,5,2,2,4,4,0.84,0.73,4,1,1.52,1.88,0,3,5,1,5,4,3,5,1,2,0.0,0.0,27,16,0,1,1,3,16,13,0.43,0.41,0.59,0.61,0.24,0.27,0.62,1.03,27,17,13,16,0.65,0.74,49,41,11,35,8,6,1,0,0,2,4,2,1.88,1.52,0.88,0.52,0.0,0.0
10.0,1,2,2,8,8,0,5,17.0,0.7481662588028526,3,1,1.67,0.95,0.5,0.5,15,12,5,4,3,1,1,5,0.76,0.76,5,2,3.01,0.87,9,8,1,0,12,6,3,6,1,0,0.0,0.0,27,12,0,0,2,6,10,11,0.37,0.34,0.59,0.6,0.33,0.15,1.34,0.31,10,31,11,11,0.82,0.56,50,55,29,9,12,3,1,4,1,0,3,2,0.87,3.01,-0.13,0.01,0.0,0.0
10.0,1,2,2,8,8,0,5,8.0,0.8801955985915914,2,3,0.94,1.88,0.45,0.55,11,16,5,4,2,4,2,4,0.78,0.83,3,4,1.62,2.76,4,8,2,4,5,7,6,9,0,0,0.0,2.0,20,24,0,0,3,4,18,15,0.46,0.49,0.66,0.76,0.18,0.08,0.7,0.77,27,21,17,18,0.73,0.57,53,51,35,33,2,3,2,0,0,1,1,3,2.76,1.62,-0.24,0.62,0.0,0.0
10.0,1,2,2,8,8,0,5,18.0,0.7481662588028526,2,2,1.86,2.87,0.49,0.51,21,14,5,4,3,8,4,3,0.67,0.71,3,1,1.63,1.98,9,8,7,2,13,9,8,5,0,2,0.0,0.0,28,18,1,0,1,9,8,10,0.29,0.4,0.54,0.56,0.3,0.13,1.51,0.5,24,25,11,8,0.5,0.75,48,60,31,30,7,7,0,0,0,0,2,3,1.98,1.63,-0.02,-0.37,0.0,0.0
11.0,1,2,2,2,5,-3,5,10.0,0.9926650361894058,1,0,2.11,0.78,0.4,0.6,16,15,4,4,3,1,7,5,0.76,0.85,1,4,2.2,0.37,7,10,5,1,10,9,6,6,0,1,0.0,0.0,21,18,0,1,4,0,13,9,0.4,0.54,0.65,0.68,0.21,0.35,0.33,0.56,13,24,11,16,0.53,0.5,55,45,43,24,5,4,1,0,0,0,4,3,0.37,2.2,0.37,1.2,0.0,0.0
11.0,1,2,2,2,5,-3,5,5.0,0.8312958431142807,0,3,0.36,1.0,0.54,0.46,8,6,2,3,2,2,3,2,0.88,0.82,2,4,0.16,0.99,5,2,1,1,4,4,3,2,0,0,0.0,0.0,13,10,0,0,0,0,19,15,0.67,0.46,0.64,0.71,0.06,0.2,0.23,0.86,22,20,15,20,0.57,0.58,41,45,11,28,6,7,0,1,0,0,0,2,0.99,0.16,-2.01,0.16,0.0,0.0
11.0,1,2,2,2,5,-3,5,4.0,0.9853300728678092,1,1,1.09,1.72,0.22,0.78,9,19,5,7,3,2,5,4,0.66,0.9,1,1,0.89,1.55,2,7,2,5,6,10,3,9,0,0,0.0,0.0,12,38,0,1,0,2,8,11,0.32,0.67,0.32,0.85,0.29,0.26,0.12,1.72,17,25,11,8,0.62,0.81,48,57,51,14,10,3,0,2,0,1,6,4,1.55,0.89,0.55,-0.11,1.0,0.0
11.0,1,2,2,2,5,-3,5,3.0,0.8801955985915914,0,1,0.63,1.52,0.58,0.42,12,6,3,2,0,5,3,0,0.83,0.78,4,5,0.5,1.28,6,3,3,1,8,3,4,2,0,0,0.0,0.0,19,11,1,0,2,2,18,20,0.32,0.22,0.68,0.7,0.26,0.25,0.77,0.94,23,16,20,18,0.56,0.67,59,53,9,32,8,11,1,0,1,0,1,3,1.28,0.5,0.28,0.5,0.0,0.0
11.0,1,2,2,2,5,-3,5,16.0,0.9926650361894058,0,0,1.0,0.1,0.55,0.45,13,3,3,0,3,0,8,0,0.84,0.8,2,2,0.24,0.0,5,3,5,0,8,1,5,2,0,0,0.0,0.0,22,3,0,0,2,0,10,9,0.53,0.42,0.64,0.53,0.11,0.5,0.64,0.22,32,17,13,11,0.85,0.63,57,53,28,50,5,8,0,0,0,0,0,3,0.0,0.24,0.0,-0.76,0.0,0.0
12.0,1,2,2,7,13,-6,5,17.0,0.9926650361894058,3,1,1.15,1.1,0.53,0.47,9,15,4,2,2,4,4,5,0.86,0.83,2,0,2.61,0.87,3,8,2,5,7,8,2,7,0,0,0.0,0.0,11,23,0,0,0,1,17,13,0.49,0.53,0.72,0.59,0.1,0.38,0.53,0.72,27,17,13,17,0.71,0.78,42,43,24,16,5,10,0,0,0,0,1,1,0.87,2.61,-0.13,-0.39,0.0,0.0
12.0,1,2,2,7,13,-6,5,9.0,0.8801955985915914,0,2,0.27,1.49,0.66,0.34,8,9,3,4,0,5,7,6,0.85,0.67,2,7,0.44,1.48,4,4,1,1,3,9,5,0,0,0,0.0,1.0,13,16,0,2,2,4,21,18,0.46,0.36,0.71,0.58,0.17,0.35,0.37,1.59,29,13,18,21,0.73,0.77,53,74,24,42,4,4,0,0,1,0,2,3,1.48,0.44,-0.52,0.44,0.0,0.0
12.0,1,2,2,7,13,-6,5,2.0,0.9926650361894058,0,6,0.22,2.86,0.43,0.57,7,19,1,10,0,4,1,6,0.84,0.89,0,1,0.03,3.88,3,6,3,3,1,12,6,7,0,0,0.0,0.0,3,34,0,1,1,2,6,7,0.35,0.65,0.63,0.77,0.14,0.2,0.14,1.47,17,19,7,7,0.65,0.64,36,35,22,9,7,8,0,0,0,0,4,1,3.88,0.03,-2.12,0.03,1.0,0.0
12.0,1,2,2,7,13,-6,5,15.0,0.9926650361894058,3,3,0.66,1.54,0.55,0.45,14,15,6,7,2,2,4,2,0.87,0.84,3,2,1.04,2.17,6,5,2,3,11,12,3,3,0,0,1.0,0.0,17,30,1,0,0,0,17,12,0.44,0.32,0.73,0.7,0.08,0.11,0.41,0.82,20,11,13,17,0.5,0.64,50,40,17,30,5,8,0,0,0,1,4,3,2.17,1.04,-0.83,-1.96,0.0,0.0
12.0,1,2,2,7,13,-6,5,8.0,0.8801955985915914,1,1,0.45,0.35,0.46,0.54,9,12,3,3,1,1,2,2,0.79,0.81,4,4,0.79,0.64,5,4,1,5,5,7,4,5,0,0,1.0,0.0,11,14,0,1,0,4,15,16,0.34,0.37,0.61,0.57,0.2,0.17,0.54,0.49,23,26,17,15,1.0,0.69,38,50,36,20,11,7,1,0,0,0,2,2,0.64,0.79,-0.36,-0.21,0.0,0.0
13.0,1,1,3,4,8,-4,4,7.0,0.7481662588028526,0,2,0.85,0.65,0.59,0.41,15,12,4,2,1,0,14,6,0.75,0.64,3,6,0.66,0.83,8,6,3,4,11,7,4,5,1,2,0.0,0.0,22,11,0,0,4,1,15,20,0.44,0.27,0.49,0.44,0.34,0.13,0.99,0.21,30,22,21,16,0.71,0.6,55,50,39,44,5,8,0,0,0,0,0,4,0.83,0.66,-1.17,0.66,0.0,0.0
13.0,1,1,3,4,8,-4,4,1.0,0.8801955985915914,0,1,0.08,1.88,0.31,0.69,5,11,1,5,0,3,5,5,0.6,0.83,4,2,0.21,1.86,2,3,2,3,0,8,5,3,0,0,0.0,0.0,4,27,0,0,1,3,6,14,0.38,0.46,0.52,0.68,0.09,0.06,0.11,0.68,20,33,14,6,0.74,0.89,57,59,31,17,18,6,0,0,0,0,4,1,1.86,0.21,0.86,0.21,0.0,0.0
13.0,1,1,3,4,8,-4,4,15.0,0.7481662588028526,1,1,0.88,1.37,0.38,0.62,13,20,6,9,1,2,6,6,0.72,0.84,4,2,1.04,1.7,2,4,5,7,9,9,4,11,1,2,0.0,0.0,30,22,0,1,0,0,15,16,0.4,0.36,0.62,0.78,0.19,0.13,1.04,1.24,20,11,18,16,0.53,0.58,56,58,15,38,11,2,2,1,0,0,8,5,1.7,1.04,0.7,0.04,1.0,0.0
13.0,1,1,3,4,8,-4,4,2.0,0.8801955985915914,1,4,0.71,2.67,0.27,0.73,3,27,1,7,2,5,3,13,0.66,0.86,3,2,0.24,2.28,1,11,1,9,3,16,0,11,0,1,1.0,1.0,6,49,0,2,1,1,6,18,0.38,0.71,0.56,0.77,0.3,0.32,0.88,2.07,14,16,18,7,0.45,0.82,39,50,46,9,9,5,0,0,0,0,3,0,2.28,0.24,-1.72,-0.76,1.0,0.0
13.0,1,1,3,4,8,-4,4,9.0,0.7481662588028526,2,0,1.27,0.66,0.38,0.62,9,9,2,3,2,1,3,2,0.72,0.77,3,2,1.1,0.11,3,4,4,2,3,4,6,5,0,0,1.0,0.0,12,12,1,0,1,0,13,21,0.35,0.44,0.48,0.54,0.27,0.37,0.84,0.63,25,22,22,13,0.38,0.71,47,69,33,22,8,1,0,2,0,1,3,0,0.11,1.1,0.11,-0.9,0.0,0.0
14.0,1,1,3,5,9,-4,4,3.0,0.9926650361894058,1,2,0.97,0.94,0.42,0.58,7,10,2,3,1,3,2,6,0.79,0.87,1,3,0.76,1.46,5,3,0,4,2,6,5,4,0,1,0.0,0.0,9,19,1,0,0,1,14,5,0.42,0.57,0.47,0.77,0.44,0.13,0.45,0.73,26,20,5,15,0.65,0.55,51,38,32,28,9,9,0,0,1,0,1,1,1.46,0.76,-0.54,-0.24,0.0,0.0
14.0,1,1,3,5,9,-4,4,18.0,0.9853300728678092,1,0,1.65,2.36,0.49,0.51,12,14,4,6,2,3,5,6,0.81,0.83,1,2,0.63,3.12,5,6,3,2,6,9,6,5,0,0,0.0,0.0,12,22,0,0,0,2,15,13,0.47,0.44,0.64,0.65,0.19,0.13,0.5,1.24,20,34,13,15,0.62,0.48,67,44,45,17,10,9,0,0,0,0,6,3,3.12,0.63,3.12,0.63,0.0,0.0
14.0,1,1,3,5,9,-4,4,6.0,0.8801955985915914,0,3,2.21,1.5,0.33,0.67,12,12,3,6,5,3,1,5,0.73,0.88,2,1,0.18,1.37,6,3,3,3,9,6,3,6,1,0,0.0,0.0,13,23,3,0,2,0,6,14,0.42,0.52,0.45,0.77,0.27,0.17,0.99,0.64,28,17,15,6,0.6,0.57,29,40,19,24,6,3,1,1,1,0,3,3,1.37,0.18,-1.63,0.18,0.0,0.0
14.0,1,1,3,5,9,-4,4,16.0,0.9853300728678092,2,2,1.09,2.6,0.44,0.56,6,19,2,6,2,3,2,6,0.69,0.78,5,4,1.14,2.52,3,7,1,6,4,12,2,7,0,1,0.0,0.0,11,27,0,2,1,0,16,22,0.27,0.43,0.42,0.59,0.33,0.35,0.42,0.77,24,27,24,18,0.85,0.56,53,65,29,18,11,4,0,0,0,1,4,0,2.52,1.14,0.52,-0.86,1.0,1.0
14.0,1,1,3,5,9,-4,4,4.0,0.8801955985915914,1,2,0.74,1.02,0.46,0.54,11,6,7,2,1,1,5,2,0.87,0.89,4,6,2.04,1.2,3,2,1,2,9,4,2,2,0,1,0.0,0.0,17,20,0,0,1,0,17,12,0.56,0.51,0.77,0.83,0.14,0.25,0.56,0.65,15,12,12,18,0.82,0.56,46,46,11,27,5,9,0,0,1,0,0,6,1.2,2.04,-0.8,1.04,0.0,1.0
15.0,0,3,1,7,9,-2,3,3.0,0.7481662588028526,1,3,1.32,1.96,0.46,0.54,15,15,4,8,3,3,3,7,0.86,0.87,0,1,0.83,2.11,6,5,5,2,9,10,6,5,2,0,0.0,1.0,24,29,0,1,3,2,12,13,0.4,0.53,0.67,0.71,0.24,0.31,0.5,1.21,6,21,13,12,0.9,0.47,42,46,24,17,5,9,1,0,0,0,5,3,2.11,0.83,-0.89,-0.17,0.0,0.0
15.0,0,3,1,7,9,-2,3,13.0,0.7481662588028526,1,1,1.37,0.88,0.62,0.38,20,13,9,6,2,1,6,6,0.84,0.72,2,4,1.7,1.04,4,2,7,5,9,9,11,4,2,1,0.0,0.0,22,30,1,0,0,0,16,15,0.36,0.4,0.78,0.62,0.13,0.19,1.24,1.04,11,20,16,18,0.58,0.53,58,56,38,15,2,11,1,2,0,0,5,8,1.04,1.7,0.04,0.7,0.0,1.0
15.0,0,3,1,7,9,-2,3,12.0,0.9926650361894058,3,3,1.54,0.66,0.45,0.55,15,14,7,6,2,2,2,4,0.84,0.87,2,3,2.17,1.04,5,6,3,2,12,11,3,3,0,0,0.0,1.0,30,17,0,1,0,0,12,17,0.32,0.44,0.7,0.73,0.11,0.08,0.82,0.41,11,20,17,13,0.64,0.5,40,50,30,17,8,5,0,0,1,0,3,4,1.04,2.17,-1.96,-0.83,0.0,0.0
15.0,0,3,1,7,9,-2,3,6.0,0.9926650361894058,2,2,1.05,2.19,0.28,0.72,5,20,3,9,1,4,1,7,0.68,0.89,3,2,1.37,2.64,1,8,1,3,4,11,1,9,0,0,0.0,0.0,12,38,0,2,3,1,12,13,0.3,0.44,0.34,0.78,0.25,0.16,0.14,1.88,16,28,13,12,0.5,0.44,41,45,36,20,8,3,0,0,1,0,7,1,2.64,1.37,0.64,-0.63,0.0,0.0
16.0,0,3,2,3,6,-3,3,10.0,0.9022004885563811,1,1,1.34,0.69,0.34,0.66,9,8,5,3,2,2,4,4,0.73,0.84,1,4,1.88,1.52,3,0,1,5,4,5,5,3,2,1,0.0,0.0,16,27,1,0,3,1,13,16,0.41,0.43,0.61,0.59,0.27,0.24,1.03,0.62,17,27,16,13,0.74,0.65,41,49,35,11,6,8,0,1,2,0,2,4,1.52,1.88,0.52,0.88,0.0,0.0
16.0,0,3,2,3,6,-3,3,8.0,0.7481662588028526,0,2,0.52,1.54,0.6,0.4,10,14,1,6,0,3,3,2,0.85,0.8,2,0,0.79,2.12,9,6,0,2,4,9,6,5,1,0,0.0,1.0,13,15,0,0,0,0,10,8,0.53,0.47,0.63,0.72,0.25,0.36,0.46,1.1,20,26,10,11,0.64,0.87,37,42,19,28,1,10,0,0,0,0,4,1,2.12,0.79,0.12,0.79,0.0,0.0
16.0,0,3,2,3,6,-3,3,4.0,0.9926650361894058,0,1,1.27,2.29,0.43,0.57,15,14,2,3,3,2,5,4,0.76,0.79,3,3,0.53,1.66,9,7,4,4,5,9,10,5,1,0,0.0,0.0,13,23,0,0,1,1,22,12,0.52,0.48,0.49,0.65,0.33,0.3,0.61,0.94,18,24,14,23,0.86,0.6,65,45,22,18,5,6,1,2,0,0,2,2,1.66,0.53,0.66,0.53,0.0,0.0
16.0,0,3,2,3,6,-3,3,14.0,0.9853300728678092,2,2,2.6,1.09,0.56,0.44,19,6,6,2,3,2,6,2,0.78,0.69,4,5,2.52,1.14,7,3,6,1,12,4,7,2,1,0,0.0,0.0,27,11,2,0,0,1,22,16,0.43,0.27,0.59,0.42,0.35,0.33,0.77,0.42,27,24,18,24,0.56,0.85,65,53,18,29,4,11,0,0,1,0,0,4,1.14,2.52,-0.86,0.52,1.0,1.0
16.0,0,3,2,3,6,-3,3,11.0,0.9926650361894058,0,0,0.1,1.0,0.45,0.55,3,13,0,3,0,3,0,8,0.8,0.84,2,2,0.0,0.24,3,5,0,5,1,8,2,5,0,0,0.0,0.0,3,22,0,0,0,2,9,10,0.42,0.53,0.53,0.64,0.5,0.11,0.22,0.64,17,32,11,13,0.63,0.85,53,57,50,28,8,5,0,0,0,0,3,0,0.24,0.0,-0.76,0.0,0.0,0.0
17.0,0,1,4,4,11,-7,1,12.0,0.9926650361894058,1,3,1.1,1.15,0.47,0.53,15,9,2,4,4,2,5,4,0.83,0.86,0,2,0.87,2.61,8,3,5,2,8,7,7,2,0,0,0.0,0.0,23,11,0,0,1,0,13,17,0.53,0.49,0.59,0.72,0.38,0.1,0.72,0.53,17,27,17,13,0.78,0.71,43,42,16,24,10,5,0,0,0,0,1,1,2.61,0.87,-0.39,-0.13,0.0,0.0
17.0,0,1,4,4,11,-7,1,10.0,0.7481662588028526,1,3,0.95,1.67,0.5,0.5,12,15,4,5,1,3,5,1,0.76,0.76,2,5,0.87,3.01,8,9,0,1,6,12,6,3,0,1,0.0,0.0,12,27,0,0,6,2,11,10,0.34,0.37,0.6,0.59,0.15,0.33,0.31,1.34,31,10,11,11,0.56,0.82,55,50,9,29,3,12,4,1,0,1,2,3,3.01,0.87,0.01,-0.13,0.0,0.0
17.0,0,1,4,4,11,-7,1,9.0,0.7481662588028526,0,2,1.23,1.51,0.51,0.49,10,10,3,5,1,4,1,3,0.71,0.7,4,5,0.48,1.12,4,3,3,2,3,7,7,3,0,0,0.0,0.0,13,19,0,0,2,0,20,20,0.35,0.21,0.45,0.48,0.43,0.11,0.3,0.8,26,19,20,20,0.76,0.75,61,54,40,33,7,9,0,0,0,0,3,3,1.12,0.48,-0.88,0.48,0.0,0.0
17.0,0,1,4,4,11,-7,1,6.0,0.9926650361894058,2,2,0.51,2.3,0.24,0.76,4,21,2,5,2,2,3,11,0.61,0.88,3,2,0.75,1.83,1,11,1,5,4,13,0,8,0,1,0.0,1.0,11,51,0,0,0,2,7,11,0.32,0.64,0.36,0.8,0.29,0.19,0.27,1.07,19,26,12,9,0.64,0.56,43,39,45,16,10,10,0,1,1,1,3,0,1.83,0.75,-0.17,-1.25,0.0,0.0
17.0,0,1,4,4,11,-7,1,5.0,0.8801955985915914,0,1,0.66,0.79,0.45,0.55,13,11,3,3,3,3,5,9,0.75,0.8,1,5,0.49,1.03,6,5,4,3,7,10,6,1,0,0,0.0,1.0,15,36,0,0,2,0,17,16,0.37,0.5,0.61,0.69,0.3,0.26,0.6,1.04,24,27,16,18,0.63,0.1,54,50,38,36,9,7,0,0,0,0,2,3,1.03,0.49,0.03,0.49,0.0,1.0
18.0,0,1,4,2,10,-8,1,6.0,0.9926650361894058,0,3,0.78,1.97,0.32,0.68,7,8,3,6,3,3,3,5,0.81,0.9,3,1,0.67,3.01,3,2,1,0,4,5,3,3,0,0,0.0,1.0,11,22,1,2,6,3,9,9,0.46,0.65,0.55,0.76,0.06,0.33,0.21,0.95,9,24,9,10,0.5,0.2,45,27,18,23,13,6,1,2,0,0,3,3,3.01,0.67,0.01,0.67,0.0,0.0
18.0,0,1,4,2,10,-8,1,14.0,0.9853300728678092,0,1,2.36,1.65,0.51,0.49,14,12,6,4,3,2,6,5,0.83,0.81,2,1,3.12,0.63,6,5,2,3,9,6,5,6,0,0,0.0,0.0,22,12,0,0,2,0,13,15,0.44,0.47,0.65,0.64,0.13,0.19,1.24,0.5,34,20,15,13,0.48,0.62,44,67,17,45,9,10,0,0,0,0,3,6,0.63,3.12,0.63,3.12,0.0,0.0
18.0,0,1,4,2,10,-8,1,5.0,0.7481662588028526,0,1,1.08,1.08,0.49,0.51,15,14,4,5,1,2,2,7,0.83,0.78,0,1,1.38,1.07,7,7,4,2,8,8,7,6,2,0,0.0,0.0,19,34,2,3,2,1,18,16,0.56,0.48,0.64,0.64,0.18,0.21,0.93,1.31,19,16,17,19,0.81,0.56,56,72,34,38,16,5,0,0,0,0,4,4,1.07,1.38,0.07,1.38,0.0,0.0
18.0,0,1,4,2,10,-8,1,4.0,0.9926650361894058,0,3,0.47,2.96,0.34,0.66,9,21,4,12,0,6,2,13,0.81,0.87,2,2,0.95,2.98,2,5,3,4,6,19,3,2,0,1,0.0,0.0,13,46,0,3,1,1,9,11,0.51,0.61,0.81,0.79,0.1,0.31,0.33,2.31,16,19,12,10,0.7,0.54,40,56,35,17,6,11,0,1,0,0,9,4,2.98,0.95,-0.02,0.95,0.0,0.0
18.0,0,1,4,2,10,-8,1,10.0,0.7481662588028526,2,2,2.87,1.86,0.51,0.49,14,21,4,5,8,3,3,4,0.71,0.67,1,3,1.98,1.63,8,9,2,7,9,13,5,8,2,0,0.0,0.0,18,28,0,1,9,1,10,8,0.4,0.29,0.56,0.54,0.13,0.3,0.5,1.51,25,24,8,11,0.75,0.5,60,48,30,31,7,7,0,0,0,0,3,2,1.63,1.98,-0.37,-0.02,0.0,0.0
