Rank,Wins,Draws,Loses,Team_goals,Opponents_goals,Goal_difference,Points,opponent_rank,Time,team_goals,opponent_goals,stat_Expected_Goals_xG_team,stat_Expected_Goals_xG_opponent,stat_Ball_Possession_team,stat_Ball_Possession_opponent,stat_Total_shots_team,stat_Total_shots_opponent,stat_Shots_on_target_team,stat_Shots_on_target_opponent,stat_Big_Chances_team,stat_Big_Chances_opponent,stat_Corner_Kicks_team,stat_Corner_Kicks_opponent,stat_Passes_team,stat_Passes_opponent,stat_Yellow_Cards_team,stat_Yellow_Cards_opponent,stat_xG_on_target_xGOT_team,stat_xG_on_target_xGOT_opponent,stat_Shots_off_target_team,stat_Shots_off_target_opponent,stat_Blocked_Shots_team,stat_Blocked_Shots_opponent,stat_Shots_inside_the_Box_team,stat_Shots_inside_the_Box_opponent,stat_Shots_outside_the_Box_team,stat_Shots_outside_the_Box_opponent,stat_Hit_the_Woodwork_team,stat_Hit_the_Woodwork_opponent,stat_Headed_Goals_team,stat_Headed_Goals_opponent,stat_Touches_in_opposition_box_team,stat_Touches_in_opposition_box_opponent,stat_Accurate_through_passes_team,stat_Accurate_through_passes_opponent,stat_Offsides_team,stat_Offsides_opponent,stat_Free_Kicks_team,stat_Free_Kicks_opponent,stat_Long_passes_team,stat_Long_passes_opponent,stat_Passes_in_final_third_team,stat_Passes_in_final_third_opponent,stat_Crosses_team,stat_Crosses_opponent,stat_Expected_assists_xA_team,stat_Expected_assists_xA_opponent,stat_Throw-ins_team,stat_Throw-ins_opponent,stat_Fouls_team,stat_Fouls_opponent,stat_Tackles_team,stat_Tackles_opponent,stat_Duels_won_team,stat_Duels_won_opponent,stat_Clearances_team,stat_Clearances_opponent,stat_Interceptions_team,stat_Interceptions_opponent,stat_Errors_leading_to_shot_team,stat_Errors_leading_to_shot_opponent,stat_Errors_leading_to_goal_team,stat_Errors_leading_to_goal_opponent,stat_Goalkeeper_Saves_team,stat_Goalkeeper_Saves_opponent,stat_xGOT_faced_team,stat_xGOT_faced_opponent,stat_Goals_prevented_team,stat_Goals_prevented_opponent,stat_Red_Cards_team,stat_Red_Cards_opponent
3.0,4,0,1,8,4,4,12,14.0,0.9926650361894058,2,1,0.94,0.97,0.58,0.42,10,7,3,2,3,1,6,2,0.87,0.79,3,1,1.46,0.76,3,5,4,0,6,2,4,5,1,0,0.0,0.0,19,9,0,1,1,0,5,14,0.57,0.42,0.77,0.47,0.13,0.44,0.73,0.45,20,26,15,5,0.55,0.65,38,51,28,32,9,9,0,0,0,1,1,1,0.76,1.46,-0.24,-0.54,0.0,0.0
3.0,4,0,1,8,4,4,12,15.0,0.7481662588028526,3,1,1.96,1.32,0.54,0.46,15,15,8,4,3,3,7,3,0.87,0.86,1,0,2.11,0.83,5,6,2,5,10,9,5,6,0,2,1.0,0.0,29,24,1,0,2,3,13,12,0.53,0.4,0.71,0.67,0.31,0.24,1.21,0.5,21,6,12,13,0.47,0.9,46,42,17,24,9,5,0,1,0,0,3,5,0.83,2.11,-0.17,-0.89,0.0,0.0
3.0,4,0,1,8,4,4,12,11.0,0.8801955985915914,1,0,1.52,0.63,0.42,0.58,6,12,2,3,5,0,0,3,0.78,0.83,5,4,1.28,0.5,3,6,1,3,3,8,2,4,0,0,0.0,0.0,11,19,0,1,2,2,20,18,0.22,0.32,0.7,0.68,0.25,0.26,0.94,0.77,16,23,18,20,0.67,0.56,53,59,32,9,11,8,0,1,0,1,3,1,0.5,1.28,0.5,0.28,0.0,0.0
3.0,4,0,1,8,4,4,12,8.0,0.7823960876369701,2,0,1.49,0.26,0.49,0.51,10,11,4,4,3,0,3,7,0.79,0.8,5,2,1.69,0.3,3,5,3,2,7,4,3,7,1,0,1.0,0.0,16,14,0,1,0,2,17,16,0.39,0.36,0.62,0.69,0.13,0.21,1.47,0.99,19,20,17,17,0.63,0.42,50,42,34,12,9,11,0,0,0,0,4,2,0.3,1.69,0.3,-0.31,0.0,0.0
3.0,4,0,1,8,4,4,12,7.0,0.9853300728678092,0,2,0.73,0.86,0.54,0.46,10,12,0,4,1,1,3,4,0.88,0.83,2,1,0.0,1.0,6,3,4,5,4,7,6,5,0,0,0.0,1.0,14,19,0,0,1,0,17,11,0.47,0.6,0.73,0.69,0.27,0.14,0.45,0.59,14,20,12,18,0.62,0.92,47,48,29,18,11,8,0,1,1,0,2,0,1.0,0.0,-1.0,0.0,0.0,0.0
4.0,3,1,0,7,2,5,10,11.0,0.9853300728678092,1,1,1.72,1.09,0.78,0.22,19,9,7,5,2,3,4,5,0.9,0.66,1,1,1.55,0.89,7,2,5,2,10,6,9,3,0,0,0.0,0.0,38,12,1,0,2,0,11,8,0.67,0.32,0.85,0.32,0.26,0.29,1.72,0.12,25,17,8,11,0.81,0.62,57,48,14,51,3,10,2,0,1,0,4,6,0.89,1.55,-0.11,0.55,0.0,1.0
4.0,3,1,0,7,2,5,10,16.0,0.9926650361894058,1,0,2.29,1.27,0.57,0.43,14,15,3,2,2,3,4,5,0.79,0.76,3,3,1.66,0.53,7,9,4,4,9,5,5,10,0,1,0.0,0.0,23,13,0,0,1,1,12,22,0.48,0.52,0.65,0.49,0.3,0.33,0.94,0.61,24,18,23,14,0.6,0.86,45,65,18,22,6,5,2,1,0,0,2,2,0.53,1.66,0.53,0.66,0.0,0.0
4.0,3,1,0,7,2,5,10,18.0,0.9926650361894058,3,0,2.96,0.47,0.66,0.34,21,9,12,4,6,0,13,2,0.87,0.81,2,2,2.98,0.95,5,2,4,3,19,6,2,3,1,0,0.0,0.0,46,13,3,0,1,1,11,9,0.61,0.51,0.79,0.81,0.31,0.1,2.31,0.33,19,16,10,12,0.54,0.7,56,40,17,35,11,6,1,0,0,0,4,9,0.95,2.98,0.95,-0.02,0.0,0.0
4.0,3,1,0,7,2,5,10,14.0,0.8801955985915914,2,1,1.02,0.74,0.54,0.46,6,11,2,7,1,1,2,5,0.89,0.87,6,4,1.2,2.04,2,3,2,1,4,9,2,2,1,0,0.0,0.0,20,17,0,0,0,1,12,17,0.51,0.56,0.83,0.77,0.25,0.14,0.65,0.56,12,15,18,12,0.56,0.82,46,46,27,11,9,5,0,0,0,1,6,0,2.04,1.2,1.04,-0.8,1.0,0.0
5.0,3,1,1,6,2,4,10,11.0,0.8312958431142807,3,0,1.0,0.36,0.46,0.54,6,8,3,2,2,2,2,3,0.82,0.88,4,2,0.99,0.16,2,5,1,1,4,4,2,3,0,0,0.0,0.0,10,13,0,0,0,0,15,19,0.46,0.67,0.71,0.64,0.2,0.06,0.86,0.23,20,22,20,15,0.58,0.57,45,41,28,11,7,6,1,0,0,0,2,0,0.16,0.99,0.16,-2.01,0.0,0.0
5.0,3,1,1,6,2,4,10,2.0,0.9926650361894058,1,2,0.95,2.22,0.43,0.57,9,9,3,4,1,4,5,4,0.76,0.87,4,3,1.0,1.19,3,4,3,1,8,7,1,2,0,1,1.0,0.0,15,21,0,4,2,6,16,20,0.44,0.6,0.61,0.67,0.24,0.08,0.49,1.62,20,12,22,17,0.65,0.54,52,57,21,27,9,8,1,1,0,0,2,2,1.19,1.0,-0.81,0.0,0.0,0.0
5.0,3,1,1,6,2,4,10,18.0,0.7481662588028526,1,0,1.08,1.08,0.51,0.49,14,15,5,4,2,1,7,2,0.78,0.83,1,0,1.07,1.38,7,7,2,4,8,8,6,7,0,2,0.0,0.0,34,19,3,2,1,2,16,18,0.48,0.56,0.64,0.64,0.21,0.18,1.31,0.93,16,19,19,17,0.56,0.81,72,56,38,34,5,16,0,0,0,0,4,4,1.38,1.07,1.38,0.07,0.0,0.0
5.0,3,1,1,6,2,4,10,7.0,0.7481662588028526,0,0,0.39,1.25,0.45,0.55,11,20,3,8,0,0,2,9,0.78,0.84,3,1,0.22,1.08,7,7,1,5,8,11,3,9,0,0,0.0,0.0,20,28,0,0,2,3,17,17,0.4,0.54,0.53,0.72,0.29,0.35,0.23,0.89,21,14,17,18,0.52,0.67,55,55,35,29,6,4,1,2,0,0,8,3,1.08,0.22,1.08,0.22,0.0,0.0
5.0,3,1,1,6,2,4,10,17.0,0.8801955985915914,1,0,0.79,0.66,0.55,0.45,11,13,3,3,3,3,9,5,0.8,0.75,5,1,1.03,0.49,5,6,3,4,10,7,1,6,0,0,1.0,0.0,36,15,0,0,0,2,16,17,0.5,0.37,0.69,0.61,0.26,0.3,1.04,0.6,27,24,18,16,0.1,0.63,50,54,36,38,7,9,0,0,0,0,3,2,0.49,1.03,0.49,0.03,1.0,0.0
