Rank,Team,Wins,Draws,Loses,Team_goals,Opponents_goals,Goal_difference,Points,Opponent,opponent_rank,Date,Time,Home/Away,team_goals,opponent_goals,Outcome,Target_Winner,stat_Expected_Goals_xG_team,stat_Expected_Goals_xG_opponent,stat_Ball_Possession_team,stat_Ball_Possession_opponent,stat_Total_shots_team,stat_Total_shots_opponent,stat_Shots_on_target_team,stat_Shots_on_target_opponent,stat_Big_Chances_team,stat_Big_Chances_opponent,stat_Corner_Kicks_team,stat_Corner_Kicks_opponent,stat_Passes_team,stat_Passes_opponent,stat_Yellow_Cards_team,stat_Yellow_Cards_opponent,stat_Shots_off_target_team,stat_Shots_off_target_opponent,stat_Blocked_Shots_team,stat_Blocked_Shots_opponent,stat_Shots_inside_the_Box_team,stat_Shots_inside_the_Box_opponent,stat_Shots_outside_the_Box_team,stat_Shots_outside_the_Box_opponent,stat_Hit_the_Woodwork_team,stat_Hit_the_Woodwork_opponent,stat_Touches_in_opposition_box_team,stat_Touches_in_opposition_box_opponent,stat_Offsides_team,stat_Offsides_opponent,stat_Free_Kicks_team,stat_Free_Kicks_opponent,stat_Passes_in_final_third_team,stat_Passes_in_final_third_opponent,stat_Crosses_team,stat_Crosses_opponent,stat_Throw-ins_team,stat_Throw-ins_opponent,stat_Fouls_team,stat_Fouls_opponent,stat_Tackles_team,stat_Tackles_opponent,stat_Clearances_team,stat_Clearances_opponent,stat_Interceptions_team,stat_Interceptions_opponent,stat_Goalkeeper_Saves_team,stat_Goalkeeper_Saves_opponent,stat_Headed_Goals_team,stat_Headed_Goals_opponent,stat_xG_on_target_xGOT_team,stat_xG_on_target_xGOT_opponent,stat_Accurate_through_passes_team,stat_Accurate_through_passes_opponent,stat_Long_passes_team,stat_Long_passes_opponent,stat_Expected_assists_xA_team,stat_Expected_assists_xA_opponent,stat_Duels_won_team,stat_Duels_won_opponent,stat_Errors_leading_to_shot_team,stat_Errors_leading_to_shot_opponent,stat_Errors_leading_to_goal_team,stat_Errors_leading_to_goal_opponent,stat_xGOT_faced_team,stat_xGOT_faced_opponent,stat_Goals_prevented_team,stat_Goals_prevented_opponent,stat_Red_Cards_team,stat_Red_Cards_opponent
15.0,NAC Breda,8,9,17,34,58,-24,33,AZ Alkmaar,5.0,24.04.2025,17:45,away,1,1,D,draw,0.43,1.4,0.29,0.71,7,18,2,7,2.0,1.0,4,10,0.7,0.88,2.0,0.0,4,7,1,4,3.0,8.0,4.0,10.0,0.0,0.0,8.0,42.0,0,1,9.0,12.0,0.55,0.77,0.43,0.27,13,26,12,9,0.68,0.63,40.0,16.0,18.0,14.0,6,1,1.0,0.0,0.68,1.7,1.0,0.0,0.47,0.61,0.4,2.41,53.0,54.0,0.0,0.0,0.0,0.0,1.7,0.68,1.33,-0.32,0.0,0.0
15.0,NAC Breda,8,9,17,34,58,-24,33,Utrecht,4.0,24.08.2024,20:00,home,1,2,L,opponent,0.65,2.31,0.43,0.57,7,13,3,7,0.0,0.0,4,5,0.75,0.81,3.0,1.0,4,5,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,19,27,7,11,0.0,0.0,0.0,0.0,0.0,0.0,5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
15.0,NAC Breda,8,9,17,34,58,-24,33,Willem II,16.0,24.11.2024,13:30,away,2,2,D,draw,1.38,1.89,0.37,0.63,10,14,3,4,3.0,2.0,0,8,0.72,0.87,2.0,4.0,5,8,2,2,7.0,12.0,3.0,2.0,1.0,0.0,14.0,30.0,2,0,7.0,6.0,0.48,0.81,0.25,0.31,25,36,6,7,0.72,0.71,29.0,20.0,8.0,5.0,2,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,NAC Breda,8,9,17,34,58,-24,33,PSV,1.0,25.01.2025,17:45,away,2,3,L,opponent,0.97,2.14,0.35,0.65,20,23,5,10,1.0,3.0,2,10,0.75,0.86,1.0,1.0,9,8,6,5,11.0,20.0,9.0,3.0,0.0,1.0,21.0,40.0,0,0,6.0,12.0,0.64,0.8,0.21,0.23,15,21,12,6,0.57,0.53,38.0,22.0,8.0,11.0,7,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,NAC Breda,8,9,17,34,58,-24,33,Waalwijk,17.0,26.10.2024,19:00,home,4,1,W,team,3.01,0.49,0.66,0.34,21,8,11,2,0.0,0.0,6,2,0.88,0.79,2.0,3.0,6,2,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,19.0,7.0,0.0,0.0,0.0,0.0,26,16,7,19,0.0,0.0,0.0,0.0,2.0,8.0,1,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15.0,NAC Breda,8,9,17,34,58,-24,33,Groningen,13.0,29.03.2025,15:30,home,1,1,D,draw,1.74,1.26,0.54,0.46,13,6,3,2,3.0,1.0,3,2,0.79,0.78,3.0,4.0,5,1,5,3,10.0,4.0,3.0,2.0,0.0,0.0,31.0,11.0,1,1,14.0,13.0,0.66,0.56,0.24,0.0,19,13,13,14,0.58,0.67,13.0,33.0,14.0,13.0,1,2,0.0,0.0,0.94,0.93,0.0,0.0,0.41,0.49,0.49,0.33,60.0,55.0,0.0,0.0,0.0,0.0,0.93,0.94,-0.07,-0.06,0.0,1.0
15.0,NAC Breda,8,9,17,34,58,-24,33,Twente,6.0,29.09.2024,13:30,away,0,1,L,opponent,0.32,1.42,0.4,0.6,7,18,2,5,0.0,0.0,3,4,0.79,0.85,2.0,2.0,4,8,1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,21,25,12,13,0.0,0.0,0.0,0.0,0.0,0.0,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,NAC Breda,8,9,17,34,58,-24,33,Almere City,18.0,30.11.2024,15:30,home,1,0,W,team,0.72,0.36,0.47,0.53,10,10,4,3,0.0,0.0,5,4,0.73,0.78,1.0,1.0,3,5,3,2,8.0,4.0,2.0,6.0,1.0,0.0,25.0,19.0,0,0,12.0,8.0,0.64,0.61,0.17,0.13,17,19,8,12,0.59,0.53,32.0,19.0,6.0,10.0,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,NAC Breda,8,9,17,34,58,-24,33,Heracles,14.0,31.01.2025,19:00,home,1,1,D,draw,1.54,1.26,0.52,0.48,18,12,5,5,2.0,1.0,4,3,0.83,0.81,1.0,0.0,4,4,9,3,12.0,11.0,6.0,1.0,0.0,1.0,35.0,21.0,1,0,6.0,6.0,0.74,0.72,0.31,0.38,20,23,6,6,0.65,0.64,15.0,32.0,1.0,6.0,4,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,NAC Breda,8,9,17,34,58,-24,33,Heerenveen,9.0,31.08.2024,19:00,away,0,4,L,opponent,0.96,1.88,0.38,0.62,11,16,1,8,0.0,0.0,6,3,0.77,0.85,1.0,0.0,10,7,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,13,22,8,10,0.0,0.0,0.0,0.0,0.0,0.0,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
