Rank,Wins,Draws,Loses,Team_goals,Opponents_goals,Goal_difference,Points,opponent_rank,Time,team_goals,opponent_goals,stat_Expected_Goals_xG_team,stat_Expected_Goals_xG_opponent,stat_Ball_Possession_team,stat_Ball_Possession_opponent,stat_Total_shots_team,stat_Total_shots_opponent,stat_Shots_on_target_team,stat_Shots_on_target_opponent,stat_Big_Chances_team,stat_Big_Chances_opponent,stat_Corner_Kicks_team,stat_Corner_Kicks_opponent,stat_Passes_team,stat_Passes_opponent,stat_Yellow_Cards_team,stat_Yellow_Cards_opponent,stat_Red_Cards_team,stat_Red_Cards_opponent,stat_Shots_off_target_team,stat_Shots_off_target_opponent,stat_Blocked_Shots_team,stat_Blocked_Shots_opponent,stat_Shots_inside_the_Box_team,stat_Shots_inside_the_Box_opponent,stat_Shots_outside_the_Box_team,stat_Shots_outside_the_Box_opponent,stat_Hit_the_Woodwork_team,stat_Hit_the_Woodwork_opponent,stat_Touches_in_opposition_box_team,stat_Touches_in_opposition_box_opponent,stat_Offsides_team,stat_Offsides_opponent,stat_Free_Kicks_team,stat_Free_Kicks_opponent,stat_Passes_in_final_third_team,stat_Passes_in_final_third_opponent,stat_Crosses_team,stat_Crosses_opponent,stat_Throw-ins_team,stat_Throw-ins_opponent,stat_Fouls_team,stat_Fouls_opponent,stat_Tackles_team,stat_Tackles_opponent,stat_Clearances_team,stat_Clearances_opponent,stat_Interceptions_team,stat_Interceptions_opponent,stat_Goalkeeper_Saves_team,stat_Goalkeeper_Saves_opponent,stat_xG_on_target_xGOT_team,stat_xG_on_target_xGOT_opponent,stat_Headed_Goals_team,stat_Headed_Goals_opponent,stat_Accurate_through_passes_team,stat_Accurate_through_passes_opponent,stat_Long_passes_team,stat_Long_passes_opponent,stat_Expected_assists_xA_team,stat_Expected_assists_xA_opponent,stat_Duels_won_team,stat_Duels_won_opponent,stat_xGOT_faced_team,stat_xGOT_faced_opponent,stat_Goals_prevented_team,stat_Goals_prevented_opponent
1.0,21,5,4,55,33,22,68,3.0,0.8649999995675,0,4,0.64,2.66,0.71,0.29,13,18,4,7,0.0,0.0,5,2,0.88,0.76,4.0,2.0,0.0,0.0,6,4,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,15.0,11.0,0.0,0.0,0.0,0.0,18,15,11,15,0.0,0.0,0.0,0.0,12.0,8.0,3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,21,5,4,55,33,22,68,11.0,0.85749999957125,2,0,2.12,0.86,0.41,0.59,12,16,5,3,5.0,2.0,2,6,0.83,0.87,1.0,5.0,1.0,0.0,4,7,3.0,6.0,9.0,10.0,3.0,6.0,1.0,0.0,25.0,27.0,2,1,21.0,13.0,0.71,0.82,0.4,0.2,15,16,13,21,0.5,0.45,25.0,10.0,8.0,6.0,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,21,5,4,55,33,22,68,2.0,0.8649999995675,0,2,0.64,1.05,0.45,0.55,10,13,3,3,1.0,1.0,5,3,0.87,0.87,2.0,3.0,1.0,0.0,5,7,2.0,3.0,4.0,9.0,6.0,4.0,0.0,0.0,13.0,32.0,0,0,13.0,8.0,0.72,0.71,0.4,0.21,15,15,8,13,0.55,0.57,18.0,15.0,13.0,4.0,1,3,0.19,0.16,0.0,0.0,0.0,2.0,0.6,0.5,0.41,1.27,30.0,48.0,0.16,0.19,-1.84,0.19
1.0,21,5,4,55,33,22,68,2.0,0.6149999996925,3,2,0.0,0.0,0.53,0.47,14,17,7,7,0.0,0.0,5,4,0.0,0.0,2.0,2.0,0.0,0.0,7,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0.0,0.0,0.0,0.0,0.0,0.0,21,14,10,4,0.0,0.0,0.0,0.0,0.0,0.0,5,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,21,5,4,55,33,22,68,2.0,0.8649999995675,0,1,0.71,2.61,0.47,0.53,9,25,3,10,2.0,2.0,6,1,0.86,0.88,4.0,3.0,0.0,0.0,5,8,1.0,7.0,6.0,19.0,3.0,6.0,0.0,0.0,30.0,48.0,0,3,7.0,12.0,0.77,0.83,0.39,0.44,16,12,12,7,0.43,0.9,25.0,17.0,9.0,5.0,9,3,0.21,3.06,0.0,0.0,0.0,0.0,0.52,0.68,1.22,1.8,38.0,46.0,3.06,0.21,2.06,0.21
1.0,21,5,4,55,33,22,68,7.0,0.97249999951375,2,1,1.53,1.54,0.61,0.39,15,9,4,4,2.0,2.0,4,6,0.84,0.77,3.0,1.0,1.0,0.0,7,3,4.0,2.0,13.0,7.0,2.0,2.0,1.0,1.0,32.0,21.0,1,2,9.0,11.0,0.64,0.56,0.33,0.08,15,17,11,9,0.57,0.7,21.0,25.0,12.0,16.0,3,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,21,5,4,55,33,22,68,13.0,0.749999999625,3,2,0.0,0.0,0.66,0.34,24,10,12,2,0.0,0.0,6,6,0.0,0.0,1.0,0.0,0.0,0.0,12,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,28,18,9,10,0.0,0.0,0.0,0.0,0.0,0.0,0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,21,5,4,55,33,22,68,3.0,0.97249999951375,2,1,2.02,0.81,0.55,0.45,21,10,7,3,3.0,0.0,4,5,0.81,0.79,1.0,0.0,0.0,0.0,6,3,8.0,4.0,11.0,10.0,10.0,0.0,1.0,0.0,36.0,35.0,3,2,13.0,11.0,0.68,0.72,0.26,0.2,15,19,11,13,0.77,0.52,21.0,25.0,13.0,12.0,2,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,21,5,4,55,33,22,68,2.0,0.6149999996925,0,2,0.9,1.68,0.53,0.47,4,19,1,5,1.0,1.0,2,8,0.87,0.85,1.0,3.0,0.0,0.0,3,12,0.0,2.0,3.0,13.0,1.0,6.0,0.0,1.0,13.0,31.0,1,0,8.0,6.0,0.7,0.76,0.27,0.32,17,19,6,8,0.6,0.71,21.0,9.0,9.0,8.0,3,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,21,5,4,55,33,22,68,16.0,0.749999999625,4,3,0.0,0.0,0.45,0.55,11,15,6,7,0.0,0.0,3,6,0.0,0.0,1.0,3.0,1.0,0.0,5,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,0.0,0.0,0.0,0.0,0.0,0.0,25,14,12,7,0.0,0.0,0.0,0.0,0.0,0.0,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,21,5,4,55,33,22,68,4.0,0.9499999995249999,2,0,0.0,0.0,0.46,0.54,19,18,9,4,0.0,0.0,4,4,0.0,0.0,2.0,1.0,0.0,0.0,10,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,10,17,19,11,0.0,0.0,0.0,0.0,0.0,0.0,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,21,5,4,55,33,22,68,8.0,0.85749999957125,2,1,0.76,0.73,0.52,0.48,14,5,10,2,6.0,1.0,0,2,0.89,0.85,1.0,2.0,0.0,0.0,2,1,2.0,2.0,8.0,4.0,6.0,1.0,0.0,0.0,22.0,13.0,2,3,12.0,6.0,0.83,0.68,0.1,0.08,15,21,6,12,0.45,0.71,11.0,12.0,16.0,7.0,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,21,5,4,55,33,22,68,6.0,0.8649999995675,4,1,1.09,1.12,0.55,0.45,14,11,5,3,2.0,2.0,2,7,0.91,0.88,0.0,1.0,0.0,0.0,6,5,3.0,3.0,9.0,8.0,5.0,3.0,0.0,0.0,23.0,28.0,3,2,5.0,10.0,0.79,0.84,0.14,0.22,11,15,10,5,0.77,0.62,20.0,19.0,10.0,8.0,2,1,1.36,0.7,0.0,0.0,0.0,0.0,0.81,0.64,0.78,0.72,36.0,34.0,0.7,1.36,-0.31,-1.64
