Rank,Team,Wins,Draws,Loses,Team_goals,Opponents_goals,Goal_difference,Points,Opponent,opponent_rank,Date,Time,Home/Away,team_goals,opponent_goals,Outcome,Target_Winner,stat_Expected_Goals_xG_team,stat_Expected_Goals_xG_opponent,stat_Ball_Possession_team,stat_Ball_Possession_opponent,stat_Total_shots_team,stat_Total_shots_opponent,stat_Shots_on_target_team,stat_Shots_on_target_opponent,stat_Big_Chances_team,stat_Big_Chances_opponent,stat_Corner_Kicks_team,stat_Corner_Kicks_opponent,stat_Passes_team,stat_Passes_opponent,stat_Yellow_Cards_team,stat_Yellow_Cards_opponent,stat_Shots_off_target_team,stat_Shots_off_target_opponent,stat_Blocked_Shots_team,stat_Blocked_Shots_opponent,stat_Shots_inside_the_Box_team,stat_Shots_inside_the_Box_opponent,stat_Shots_outside_the_Box_team,stat_Shots_outside_the_Box_opponent,stat_Hit_the_Woodwork_team,stat_Hit_the_Woodwork_opponent,stat_Touches_in_opposition_box_team,stat_Touches_in_opposition_box_opponent,stat_Offsides_team,stat_Offsides_opponent,stat_Free_Kicks_team,stat_Free_Kicks_opponent,stat_Passes_in_final_third_team,stat_Passes_in_final_third_opponent,stat_Crosses_team,stat_Crosses_opponent,stat_Throw-ins_team,stat_Throw-ins_opponent,stat_Fouls_team,stat_Fouls_opponent,stat_Tackles_team,stat_Tackles_opponent,stat_Clearances_team,stat_Clearances_opponent,stat_Interceptions_team,stat_Interceptions_opponent,stat_Goalkeeper_Saves_team,stat_Goalkeeper_Saves_opponent,stat_xG_on_target_xGOT_team,stat_xG_on_target_xGOT_opponent,stat_Accurate_through_passes_team,stat_Accurate_through_passes_opponent,stat_Long_passes_team,stat_Long_passes_opponent,stat_Expected_assists_xA_team,stat_Expected_assists_xA_opponent,stat_Duels_won_team,stat_Duels_won_opponent,stat_Errors_leading_to_shot_team,stat_Errors_leading_to_shot_opponent,stat_Errors_leading_to_goal_team,stat_Errors_leading_to_goal_opponent,stat_xGOT_faced_team,stat_xGOT_faced_opponent,stat_Goals_prevented_team,stat_Goals_prevented_opponent,stat_Headed_Goals_team,stat_Headed_Goals_opponent,stat_Red_Cards_team,stat_Red_Cards_opponent,Team_encoded,Opponent_encoded,Home_encoded,Outcome_encoded,Target_encoded,win_rate_global,win_rate_lastN,home_win_rate,away_win_rate,h2h_win_rate,win_streak,form_score,goal_diff,goal_diff_win_rate,weighted_outcome
12.0,Crystal Palace,13,14,11,51,51,0,53,Ipswich,19.0,08.03.2025,15:00,home,1,0,W,team,3.42,1.17,0.55,0.45,19,15,4,8,5.0,2.0,5,4,0.73,0.73,4.0,3.0,6,4,9,3,14.0,9.0,5.0,6.0,1.0,0.0,25.0,17.0,0,0,7,8,0.62,0.57,0.37,0.19,26,28,8,7,0.52,0.67,33.0,30.0,9.0,8.0,8,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,9,1,1,1,0.36363636363636365,0.4,0.3333333333333333,0.4,1.0,1,0.3,1,0.4,0.37000000000000005
12.0,Crystal Palace,13,14,11,51,51,0,53,Fulham,11.0,09.11.2024,15:00,home,0,2,L,opponent,1.75,1.84,0.35,0.65,13,17,5,7,0.0,0.0,1,8,0.77,0.85,1.0,1.0,6,6,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,11,10,0.0,0.0,0.0,0.0,15,20,10,11,0.0,0.0,0.0,0.0,21.0,12.0,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6,8,1,2,2,0.3333333333333333,0.2,0.2857142857142857,0.4,0.5,0,0.2,-2,0.2,0.2
12.0,Crystal Palace,13,14,11,51,51,0,53,Tottenham,17.0,11.05.2025,14:15,away,2,0,W,team,3.39,0.68,0.53,0.47,23,8,10,1,8.0,1.0,8,4,0.82,0.77,1.0,1.0,6,2,7,5,17.0,7.0,6.0,1.0,1.0,0.0,35.0,16.0,3,2,12,10,0.61,0.53,0.39,0.14,15,17,10,12,0.47,0.57,16.0,28.0,11.0,7.0,1,8,3.32,0.02,4.0,0.0,0.47,0.3,2.14,0.55,42.0,49.0,0.0,0.0,0.0,0.0,0.02,3.32,0.02,1.32,0.0,0.0,0.0,0.0,6,17,0,1,1,0.38461538461538464,0.4,0.2857142857142857,0.5,0.5,1,0.4,2,0.4,0.4
12.0,Crystal Palace,13,14,11,51,51,0,53,Manchester City,3.0,12.04.2025,12:30,away,2,5,L,opponent,2.07,3.63,0.32,0.68,7,21,3,9,2.0,11.0,4,1,0.81,0.91,3.0,2.0,4,7,0,5,5.0,16.0,2.0,5.0,0.0,1.0,9.0,30.0,4,1,10,16,0.56,0.8,0.25,0.17,15,10,16,10,0.42,0.7,23.0,11.0,11.0,7.0,4,1,2.17,4.05,0.0,1.0,0.57,0.52,0.55,1.74,31.0,44.0,0.0,0.0,0.0,1.0,4.05,2.17,-0.95,0.17,1.0,0.0,0.0,0.0,6,12,0,2,2,0.35714285714285715,0.4,0.2857142857142857,0.42857142857142855,0.0,0,0.2,-3,0.4,0.34
12.0,Crystal Palace,13,14,11,51,51,0,53,Leicester,18.0,14.09.2024,15:00,home,2,2,D,draw,2.17,1.13,0.67,0.33,20,9,4,4,0.0,0.0,5,2,0.0,0.0,0.0,3.0,6,4,10,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,15,12,0.0,0.0,0.0,0.0,17,25,11,15,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,10,1,0,0,0.3333333333333333,0.4,0.25,0.42857142857142855,0.5,0,0.1,0,0.4,0.31000000000000005
12.0,Crystal Palace,13,14,11,51,51,0,53,Leicester,18.0,15.01.2025,19:30,away,2,0,W,team,1.81,1.52,0.43,0.57,9,21,4,4,4.0,3.0,3,4,0.78,0.85,0.0,0.0,3,11,2,6,8.0,13.0,1.0,8.0,0.0,1.0,20.0,28.0,3,1,7,6,0.62,0.74,0.25,0.27,8,22,6,7,0.67,0.63,24.0,15.0,10.0,9.0,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,10,0,1,1,0.375,0.4,0.25,0.5,0.0,1,0.3,2,0.4,0.37000000000000005
12.0,Crystal Palace,13,14,11,51,51,0,53,Everton,13.0,15.02.2025,17:30,home,1,2,L,opponent,1.66,0.76,0.58,0.42,17,11,6,6,4.0,1.0,6,2,0.77,0.72,0.0,1.0,6,1,5,4,9.0,6.0,8.0,5.0,1.0,0.0,23.0,19.0,3,1,12,9,0.63,0.55,0.28,0.25,23,19,9,12,0.63,0.35,34.0,48.0,8.0,11.0,4,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,7,1,2,2,0.35294117647058826,0.4,0.2222222222222222,0.5,0.5,0,0.2,-1,0.4,0.34
12.0,Crystal Palace,13,14,11,51,51,0,53,Brighton,8.0,15.12.2024,14:00,away,3,1,W,team,2.4,0.81,0.36,0.64,13,17,5,5,5.0,2.0,5,8,0.74,0.88,4.0,1.0,5,4,3,8,11.0,9.0,2.0,8.0,0.0,0.0,22.0,33.0,1,1,11,15,0.6,0.76,0.33,0.26,17,13,15,11,0.64,0.77,29.0,11.0,8.0,8.0,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6,4,0,1,1,0.3888888888888889,0.4,0.2222222222222222,0.5555555555555556,1.0,1,0.4,2,0.4,0.4
12.0,Crystal Palace,13,14,11,51,51,0,53,Newcastle,5.0,16.04.2025,19:30,away,0,5,L,opponent,2.0,1.39,0.4,0.6,11,14,4,7,3.0,5.0,4,5,0.78,0.84,3.0,2.0,4,4,3,3,8.0,9.0,3.0,5.0,0.0,0.0,28.0,18.0,1,2,9,15,0.72,0.68,0.29,0.23,20,15,15,9,0.55,0.5,22.0,26.0,5.0,7.0,2,4,1.24,2.2,0.0,0.0,0.25,0.53,1.12,0.56,27.0,37.0,1.0,1.0,2.0,0.0,2.2,1.24,-1.8,1.24,0.0,1.0,0.0,0.0,6,14,0,2,2,0.3684210526315789,0.4,0.2222222222222222,0.5,0.5,0,0.2,-5,0.4,0.34
12.0,Crystal Palace,13,14,11,51,51,0,53,West Ham,14.0,18.01.2025,15:00,away,2,0,W,team,1.31,0.3,0.47,0.53,12,7,7,0,2.0,0.0,4,2,0.81,0.82,0.0,3.0,4,4,1,3,6.0,4.0,6.0,3.0,0.0,0.0,17.0,14.0,0,1,13,10,0.66,0.68,0.06,0.21,20,10,10,13,0.53,0.5,17.0,24.0,16.0,12.0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,18,0,1,1,0.4,0.6,0.2222222222222222,0.5454545454545454,0.5,1,0.4,2,0.6,0.54
