Rank,Team,Wins,Draws,Loses,Team_goals,Opponents_goals,Goal_difference,Points,Opponent,opponent_rank,Date,Time,Home/Away,team_goals,opponent_goals,Outcome,Target_Winner,stat_Expected_Goals_xG_team,stat_Expected_Goals_xG_opponent,stat_Ball_Possession_team,stat_Ball_Possession_opponent,stat_Total_shots_team,stat_Total_shots_opponent,stat_Shots_on_target_team,stat_Shots_on_target_opponent,stat_Big_Chances_team,stat_Big_Chances_opponent,stat_Corner_Kicks_team,stat_Corner_Kicks_opponent,stat_Passes_team,stat_Passes_opponent,stat_Yellow_Cards_team,stat_Yellow_Cards_opponent,stat_xG_on_target_xGOT_team,stat_xG_on_target_xGOT_opponent,stat_Shots_off_target_team,stat_Shots_off_target_opponent,stat_Blocked_Shots_team,stat_Blocked_Shots_opponent,stat_Shots_inside_the_Box_team,stat_Shots_inside_the_Box_opponent,stat_Shots_outside_the_Box_team,stat_Shots_outside_the_Box_opponent,stat_Hit_the_Woodwork_team,stat_Hit_the_Woodwork_opponent,stat_Touches_in_opposition_box_team,stat_Touches_in_opposition_box_opponent,stat_Accurate_through_passes_team,stat_Accurate_through_passes_opponent,stat_Offsides_team,stat_Offsides_opponent,stat_Free_Kicks_team,stat_Free_Kicks_opponent,stat_Long_passes_team,stat_Long_passes_opponent,stat_Passes_in_final_third_team,stat_Passes_in_final_third_opponent,stat_Crosses_team,stat_Crosses_opponent,stat_Expected_assists_xA_team,stat_Expected_assists_xA_opponent,stat_Throw-ins_team,stat_Throw-ins_opponent,stat_Fouls_team,stat_Fouls_opponent,stat_Tackles_team,stat_Tackles_opponent,stat_Duels_won_team,stat_Duels_won_opponent,stat_Clearances_team,stat_Clearances_opponent,stat_Interceptions_team,stat_Interceptions_opponent,stat_Errors_leading_to_shot_team,stat_Errors_leading_to_shot_opponent,stat_Errors_leading_to_goal_team,stat_Errors_leading_to_goal_opponent,stat_Goalkeeper_Saves_team,stat_Goalkeeper_Saves_opponent,stat_xGOT_faced_team,stat_xGOT_faced_opponent,stat_Goals_prevented_team,stat_Goals_prevented_opponent,stat_Red_Cards_team,stat_Red_Cards_opponent,stat_Headed_Goals_team,stat_Headed_Goals_opponent,Team_encoded,Opponent_encoded,Home_encoded,Outcome_encoded,Target_encoded,win_rate_global,win_rate_lastN,home_win_rate,away_win_rate,h2h_win_rate,win_streak,form_score,goal_diff,goal_diff_win_rate,weighted_outcome
15.0,Brentford,1,0,2,3,5,-2,3,Aston Villa,19.0,23.08.2025,15:00,home,1,0,W,team,1.22,1.2,0.24,0.76,9,17,2,2,2,1,2,9,0.72,0.88,1.0,2.0,1.36,0.14,4,7,3,8,8,12,1,5,0,0,25,43,1,1,1,0,9,11,0.48,0.61,0.53,0.76,0.45,0.15,0.35,1.52,13,23,11,9,0.54,0.86,62,52,45,12,11,6,0,0,0,0,2,1,0.14,1.36,0.14,0.36,0.0,0.0,0.0,0.0,3,1,1,1,1,0.5,0.5,1.0,0.0,0.5,1,0.2,1,0.5,0.41000000000000003
15.0,Brentford,1,0,2,3,5,-2,3,Sunderland,6.0,30.08.2025,15:00,away,1,2,L,opponent,1.19,1.54,0.46,0.54,7,12,4,3,2,2,4,3,0.8,0.81,2.0,3.0,1.45,1.08,2,6,1,3,5,9,2,3,0,0,14,16,1,0,3,1,10,10,0.37,0.45,0.59,0.61,0.38,0.17,0.81,0.41,16,22,12,11,0.78,0.5,49,65,34,34,4,7,0,0,0,0,1,3,1.08,1.45,-0.92,0.45,0.0,0.0,1.0,1.0,3,16,0,2,2,0.3333333333333333,0.3333333333333333,1.0,0.0,0.5,0,0.2,-1,0.3333333333333333,0.29333333333333333
11.0,Brighton,1,1,1,3,4,-1,4,Fulham,18.0,16.08.2025,15:00,home,1,1,D,draw,1.47,0.76,0.5,0.5,10,7,4,2,2,2,4,3,0.88,0.83,3.0,3.0,1.02,0.73,5,4,1,1,6,5,4,2,0,0,25,19,0,0,3,2,15,16,0.56,0.55,0.73,0.64,0.36,0.21,0.61,0.51,10,20,16,15,0.47,0.53,51,44,27,15,9,2,0,1,0,0,1,3,0.73,1.02,-0.27,0.02,0.0,0.0,0.0,0.0,4,9,1,0,0,0.0,0.0,0.0,0.5,0.5,0,0.0,0,0.0,0.0
11.0,Brighton,1,1,1,3,4,-1,4,Everton,5.0,24.08.2025,14:00,away,0,2,L,opponent,2.44,1.59,0.58,0.42,13,11,4,3,3,2,2,2,0.84,0.75,3.0,4.0,1.54,1.21,5,7,4,1,7,6,6,5,2,0,29,18,0,0,6,0,6,15,0.27,0.45,0.68,0.61,0.27,0.33,0.87,0.99,27,19,15,7,0.47,0.53,47,70,24,35,5,8,0,2,0,0,1,4,1.21,1.54,-0.79,1.54,0.0,0.0,0.0,0.0,4,8,0,2,2,0.0,0.0,0.0,0.0,0.5,0,0.0,-2,0.0,0.0
11.0,Brighton,1,1,1,3,4,-1,4,Manchester City,0.0,31.08.2025,14:00,home,2,1,W,team,2.29,1.82,0.36,0.64,12,12,7,3,3,3,3,2,0.75,0.87,2.0,2.0,3.07,1.1,2,8,3,1,10,8,2,4,0,0,22,24,1,3,1,0,13,15,0.29,0.45,0.5,0.81,0.38,0.2,0.7,1.46,12,16,16,14,0.76,0.47,47,58,10,15,8,9,1,0,0,0,2,5,1.1,3.07,0.1,1.07,0.0,0.0,0.0,0.0,4,12,1,1,1,0.3333333333333333,0.3333333333333333,0.5,0.0,0.5,1,0.3,1,0.3333333333333333,0.3233333333333333
14.0,Burnley,1,0,2,4,6,-2,3,Tottenham,4.0,16.08.2025,15:00,away,0,3,L,opponent,0.93,2.32,0.33,0.67,14,16,4,6,1,2,5,6,0.74,0.88,0.0,0.0,1.07,2.6,7,9,3,1,7,12,7,4,0,0,25,26,1,1,4,0,14,7,0.4,0.48,0.66,0.79,0.21,0.3,0.98,1.28,15,17,8,14,0.33,0.75,45,47,25,26,7,1,0,1,0,0,3,4,2.6,1.07,-0.4,1.07,0.0,0.0,0.0,0.0,5,17,0,2,2,0.0,0.0,0.5,0.0,0.5,0,0.0,-3,0.0,0.0
14.0,Burnley,1,0,2,4,6,-2,3,Sunderland,6.0,23.08.2025,15:00,home,2,0,W,team,1.0,0.78,0.42,0.58,7,9,2,1,2,2,4,3,0.81,0.86,0.0,1.0,1.58,0.7,4,3,1,5,4,6,3,3,1,0,17,17,1,1,0,2,5,9,0.26,0.36,0.69,0.77,0.27,0.21,0.49,0.61,11,19,9,5,0.5,0.44,45,48,29,27,7,7,0,0,0,0,1,0,0.7,1.58,0.7,-0.42,0.0,0.0,0.0,0.0,5,16,1,1,1,0.5,0.5,1.0,0.0,0.5,1,0.2,2,0.5,0.41000000000000003
14.0,Burnley,1,0,2,4,6,-2,3,Manchester Utd,0.0,30.08.2025,15:00,away,2,3,L,opponent,1.2,3.63,0.38,0.62,6,26,3,6,2,4,1,7,0.71,0.82,5.0,1.0,1.66,2.18,1,13,2,7,5,19,1,7,0,2,18,38,1,1,1,1,9,8,0.36,0.58,0.49,0.77,0.11,0.5,0.51,1.85,13,21,9,9,0.7,0.56,53,50,39,17,9,3,0,0,0,0,3,1,2.18,1.66,0.18,-0.34,0.0,0.0,0.0,0.0,5,13,0,2,2,0.3333333333333333,0.3333333333333333,1.0,0.0,0.5,0,0.2,-1,0.3333333333333333,0.29333333333333333
2.0,Chelsea,2,1,0,7,1,6,7,Crystal Palace,8.0,17.08.2025,14:00,home,0,0,D,draw,1.61,0.66,0.71,0.29,19,11,3,4,2,1,11,2,0.9,0.74,2.0,3.0,0.65,0.26,7,3,9,4,11,4,8,7,0,0,31,8,1,0,0,0,10,10,0.43,0.42,0.79,0.52,0.21,0.09,1.34,0.09,21,18,10,12,0.46,0.81,52,47,19,41,11,7,1,1,0,0,4,3,0.26,0.65,-0.74,0.65,0.0,0.0,0.0,0.0,6,7,1,0,0,0.0,0.0,0.0,0.5,0.5,0,0.0,0,0.0,0.0
2.0,Chelsea,2,1,0,7,1,6,7,West Ham,16.0,22.08.2025,20:00,away,5,1,W,team,2.74,0.73,0.59,0.41,12,12,7,4,7,1,5,7,0.88,0.86,1.0,0.0,5.13,0.32,4,5,1,3,10,9,2,3,0,0,26,19,1,0,2,4,7,9,0.4,0.43,0.67,0.77,0.2,0.44,1.47,0.66,14,25,10,7,0.68,0.55,45,39,17,29,4,7,0,1,0,1,3,2,0.32,5.13,-0.68,0.13,0.0,0.0,1.0,0.0,6,18,0,1,1,0.5,0.5,0.0,1.0,0.5,1,0.2,4,0.5,0.41000000000000003
