Rank,Team,Wins,Draws,Loses,Team_goals,Opponents_goals,Goal_difference,Points,Opponent,opponent_rank,Date,Time,Home/Away,team_goals,opponent_goals,Outcome,Target_Winner,stat_Expected_Goals_xG_team,stat_Expected_Goals_xG_opponent,stat_Ball_Possession_team,stat_Ball_Possession_opponent,stat_Total_shots_team,stat_Total_shots_opponent,stat_Shots_on_target_team,stat_Shots_on_target_opponent,stat_Big_Chances_team,stat_Big_Chances_opponent,stat_Corner_Kicks_team,stat_Corner_Kicks_opponent,stat_Passes_team,stat_Passes_opponent,stat_Yellow_Cards_team,stat_Yellow_Cards_opponent,stat_xG_on_target_xGOT_team,stat_xG_on_target_xGOT_opponent,stat_Shots_off_target_team,stat_Shots_off_target_opponent,stat_Blocked_Shots_team,stat_Blocked_Shots_opponent,stat_Shots_inside_the_Box_team,stat_Shots_inside_the_Box_opponent,stat_Shots_outside_the_Box_team,stat_Shots_outside_the_Box_opponent,stat_Hit_the_Woodwork_team,stat_Hit_the_Woodwork_opponent,stat_Touches_in_opposition_box_team,stat_Touches_in_opposition_box_opponent,stat_Accurate_through_passes_team,stat_Accurate_through_passes_opponent,stat_Offsides_team,stat_Offsides_opponent,stat_Free_Kicks_team,stat_Free_Kicks_opponent,stat_Long_passes_team,stat_Long_passes_opponent,stat_Passes_in_final_third_team,stat_Passes_in_final_third_opponent,stat_Crosses_team,stat_Crosses_opponent,stat_Expected_assists_xA_team,stat_Expected_assists_xA_opponent,stat_Throw-ins_team,stat_Throw-ins_opponent,stat_Fouls_team,stat_Fouls_opponent,stat_Tackles_team,stat_Tackles_opponent,stat_Duels_won_team,stat_Duels_won_opponent,stat_Clearances_team,stat_Clearances_opponent,stat_Interceptions_team,stat_Interceptions_opponent,stat_Errors_leading_to_shot_team,stat_Errors_leading_to_shot_opponent,stat_Errors_leading_to_goal_team,stat_Errors_leading_to_goal_opponent,stat_Goalkeeper_Saves_team,stat_Goalkeeper_Saves_opponent,stat_xGOT_faced_team,stat_xGOT_faced_opponent,stat_Goals_prevented_team,stat_Goals_prevented_opponent,stat_Red_Cards_team,stat_Red_Cards_opponent,stat_Headed_Goals_team,stat_Headed_Goals_opponent,Team_encoded,Opponent_encoded,Home_encoded,Outcome_encoded,Target_encoded,win_rate_global,win_rate_lastN,home_win_rate,away_win_rate,h2h_win_rate,win_streak,form_score,goal_diff,goal_diff_win_rate,weighted_outcome
16.0,Excelsior,1,0,4,3,12,-9,3,Sparta Rotterdam,8.0,14.09.2025,11:15,home,0,1,L,opponent,1.56,1.65,0.53,0.47,17,19,4,7,3,2,7,2,0.79,0.77,4.0,1.0,0.49,2.16,4,5,9,7,12,12,5,7,1,0,33,30,1,0,1,1,8,10,0.44,0.42,0.66,0.61,0.17,0.36,1.23,1.13,18,13,11,8,0.6,0.57,44,60,23,49,8,6,0,1,0,0,6,4,2.16,0.49,1.16,0.49,1.0,0.0,0.0,0.0,2,13,1,2,2,0.0,0.0,0.0,0.0,0.5,0,0.0,-1,0.0,0.0
16.0,Excelsior,1,0,4,3,12,-9,3,Feyenoord,1.0,16.08.2025,17:45,home,1,2,L,opponent,1.07,2.51,0.47,0.53,8,16,2,8,1,5,5,6,0.77,0.81,0.0,2.0,0.36,2.74,5,4,1,4,4,12,4,4,2,0,13,33,2,2,1,0,8,16,0.39,0.21,0.57,0.67,0.29,0.27,0.91,1.06,14,20,17,8,0.63,0.5,55,66,31,31,6,3,0,1,0,2,6,1,2.74,0.36,0.74,-0.64,0.0,0.0,0.0,1.0,2,4,1,2,2,0.0,0.0,0.0,0.0,0.5,0,0.0,-1,0.0,0.0
16.0,Excelsior,1,0,4,3,12,-9,3,Utrecht,6.0,24.08.2025,13:30,away,1,4,L,opponent,1.32,1.78,0.5,0.5,12,16,4,10,1,3,5,7,0.82,0.82,0.0,0.0,0.67,2.81,5,2,3,4,6,12,6,4,1,0,19,21,0,3,1,1,6,12,0.4,0.47,0.66,0.64,0.24,0.38,0.4,1.34,14,22,15,6,0.62,0.54,38,45,16,25,11,3,1,0,0,1,6,3,2.81,0.67,-1.19,-0.33,0.0,0.0,0.0,1.0,2,16,0,2,2,0.0,0.0,0.0,0.0,0.5,0,0.0,-3,0.0,0.0
16.0,Excelsior,1,0,4,3,12,-9,3,Twente,13.0,30.08.2025,20:00,home,1,0,W,team,0.36,2.52,0.3,0.7,8,27,3,8,1,4,1,4,0.63,0.87,2.0,2.0,0.69,1.67,3,7,2,12,3,17,5,10,1,0,12,57,0,1,1,4,11,13,0.32,0.67,0.51,0.87,0.29,0.29,0.23,2.59,21,26,13,11,0.67,0.58,55,57,38,20,5,6,0,0,0,0,8,2,1.67,0.69,1.67,-0.31,1.0,0.0,0.0,0.0,2,15,1,1,1,0.2,0.2,0.3333333333333333,0.0,0.5,1,0.3,1,0.2,0.23
12.0,FC Volendam,0,4,1,6,9,-3,4,Heerenveen,17.0,09.08.2025,19:00,away,1,1,D,draw,0.47,1.16,0.42,0.58,5,18,3,6,2,1,2,9,0.79,0.85,1.0,1.0,0.45,0.93,2,6,0,6,2,11,3,7,1,2,12,39,1,0,2,2,7,9,0.46,0.57,0.62,0.79,0.07,0.2,0.35,1.73,21,16,9,8,0.63,0.69,33,40,38,19,11,2,0,1,0,0,5,2,0.93,0.45,-0.07,-0.55,0.0,0.0,0.0,0.0,3,7,0,0,0,0.0,0.0,0.5,0.0,0.5,0,0.0,0,0.0,0.0
12.0,FC Volendam,0,4,1,6,9,-3,4,G.A. Eagles,11.0,13.09.2025,17:45,away,0,3,L,opponent,1.31,2.14,0.54,0.46,19,19,1,13,2,6,7,7,0.84,0.79,1.0,1.0,0.1,3.88,8,4,10,2,11,12,8,7,0,0,32,19,0,1,1,2,12,8,0.53,0.44,0.69,0.67,0.14,0.37,0.89,1.64,16,17,9,12,0.2,0.67,34,36,20,33,11,8,1,0,1,0,10,1,3.88,0.1,0.88,0.1,0.0,0.0,0.0,1.0,3,5,0,2,2,0.0,0.0,0.5,0.0,0.5,0,0.0,-3,0.0,0.0
12.0,FC Volendam,0,4,1,6,9,-3,4,AZ Alkmaar,4.0,17.08.2025,15:45,home,2,2,D,draw,0.45,1.4,0.34,0.66,8,19,3,3,2,3,3,4,0.77,0.9,1.0,3.0,0.57,1.73,3,7,2,9,6,11,2,8,0,0,17,45,0,0,2,0,10,10,0.46,0.67,0.63,0.81,0.15,0.32,0.4,2.09,11,13,10,10,0.43,0.55,36,43,23,20,12,6,0,0,1,2,1,1,1.73,0.57,-0.27,-1.43,0.0,0.0,1.0,1.0,3,0,1,0,0,0.0,0.0,0.0,0.0,0.5,0,0.0,0,0.0,0.0
12.0,FC Volendam,0,4,1,6,9,-3,4,Telstar,14.0,23.08.2025,20:00,away,2,2,D,draw,0.47,1.83,0.52,0.48,10,18,6,9,1,5,6,4,0.78,0.79,0.0,3.0,2.14,2.23,1,6,3,3,6,14,4,4,0,1,24,37,0,1,0,3,8,11,0.4,0.52,0.57,0.76,0.19,0.17,0.52,0.93,24,17,11,10,0.67,0.62,50,47,30,39,7,7,0,0,0,0,7,4,2.23,2.14,0.23,0.14,0.0,0.0,0.0,0.0,3,14,0,0,0,0.0,0.0,0.0,0.0,0.5,0,0.0,0,0.0,0.0
12.0,FC Volendam,0,4,1,6,9,-3,4,Ajax,3.0,30.08.2025,15:30,home,1,1,D,draw,0.77,1.39,0.31,0.69,11,13,4,4,1,2,2,7,0.77,0.89,2.0,3.0,0.91,0.85,4,8,3,1,2,9,9,4,0,0,14,31,1,1,1,2,15,11,0.38,0.67,0.59,0.82,0.15,0.21,0.57,1.17,10,15,12,15,0.68,0.6,46,36,32,23,11,10,0,1,0,0,3,3,0.85,0.91,-0.15,-0.09,0.0,0.0,0.0,0.0,3,1,1,0,0,0.0,0.0,0.0,0.0,0.5,0,0.0,0,0.0,0.0
1.0,Feyenoord,4,0,0,9,1,8,12,NAC Breda,15.0,09.08.2025,17:45,home,2,0,W,team,2.44,0.25,0.6,0.4,20,7,4,0,3,0,3,4,0.84,0.77,1.0,1.0,1.44,0.0,9,3,7,4,12,1,8,6,0,0,35,5,1,0,1,0,13,9,0.43,0.43,0.69,0.56,0.15,0.08,1.51,0.2,25,21,10,13,0.64,0.61,58,52,21,42,7,8,0,1,0,0,0,2,0.0,1.44,0.0,-0.56,0.0,0.0,0.0,0.0,4,9,1,1,1,1.0,1.0,1.0,0.5,0.5,1,0.1,2,1.0,0.73
