Rank,Team,Wins,Draws,Loses,Team_goals,Opponents_goals,Goal_difference,Points,Opponent,opponent_rank,Date,Time,Home/Away,team_goals,opponent_goals,Outcome,Target_Winner,stat_Expected_Goals_xG_team,stat_Expected_Goals_xG_opponent,stat_Ball_Possession_team,stat_Ball_Possession_opponent,stat_Total_shots_team,stat_Total_shots_opponent,stat_Shots_on_target_team,stat_Shots_on_target_opponent,stat_Corner_Kicks_team,stat_Corner_Kicks_opponent,stat_Passes_team,stat_Passes_opponent,stat_Yellow_Cards_team,stat_Yellow_Cards_opponent,stat_Shots_off_target_team,stat_Shots_off_target_opponent,stat_Blocked_Shots_team,stat_Blocked_Shots_opponent,stat_Offsides_team,stat_Offsides_opponent,stat_Free_Kicks_team,stat_Free_Kicks_opponent,stat_Throw-ins_team,stat_Throw-ins_opponent,stat_Fouls_team,stat_Fouls_opponent,stat_Interceptions_team,stat_Interceptions_opponent,stat_Goalkeeper_Saves_team,stat_Goalkeeper_Saves_opponent,stat_Big_Chances_team,stat_Big_Chances_opponent,stat_Shots_inside_the_Box_team,stat_Shots_inside_the_Box_opponent,stat_Shots_outside_the_Box_team,stat_Shots_outside_the_Box_opponent,stat_Hit_the_Woodwork_team,stat_Hit_the_Woodwork_opponent,stat_Headed_Goals_team,stat_Headed_Goals_opponent,stat_Touches_in_opposition_box_team,stat_Touches_in_opposition_box_opponent,stat_Passes_in_final_third_team,stat_Passes_in_final_third_opponent,stat_Crosses_team,stat_Crosses_opponent,stat_Tackles_team,stat_Tackles_opponent,stat_Clearances_team,stat_Clearances_opponent,stat_Red_Cards_team,stat_Red_Cards_opponent,stat_xG_on_target_xGOT_team,stat_xG_on_target_xGOT_opponent,stat_Accurate_through_passes_team,stat_Accurate_through_passes_opponent,stat_Long_passes_team,stat_Long_passes_opponent,stat_Expected_assists_xA_team,stat_Expected_assists_xA_opponent,stat_Duels_won_team,stat_Duels_won_opponent,stat_Errors_leading_to_shot_team,stat_Errors_leading_to_shot_opponent,stat_Errors_leading_to_goal_team,stat_Errors_leading_to_goal_opponent,stat_xGOT_faced_team,stat_xGOT_faced_opponent,stat_Goals_prevented_team,stat_Goals_prevented_opponent,Team_encoded,Opponent_encoded,Home_encoded,Outcome_encoded,Target_encoded,win_rate_global,win_rate_lastN,home_win_rate,away_win_rate,h2h_win_rate,win_streak,form_score,goal_diff,goal_diff_win_rate,weighted_outcome
5.0,Santa Clara,17,6,11,36,32,4,57,Casa Pia,9.0,24.08.2024,15:30,away,2,0,W,team,0.75,0.72,0.41,0.59,7.0,10.0,4.0,3.0,1.0,7.0,0.0,0.0,4.0,4.0,2.0,4.0,1.0,3.0,0.0,0.0,12.0,21.0,23.0,36.0,21.0,14.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,5,0,1,1,0.38461538461538464,0.4,0.4166666666666667,0.35714285714285715,1.0,1,0.3,2,0.4,0.37000000000000005
5.0,Santa Clara,17,6,11,36,32,4,57,Gil Vicente,13.0,25.10.2024,20:45,home,2,1,W,team,1.5,0.79,0.32,0.68,15.0,10.0,3.0,1.0,6.0,4.0,0.68,0.83,2.0,4.0,9.0,5.0,3.0,4.0,0.0,2.0,17.0,16.0,16.0,25.0,16.0,17.0,8.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,10,1,1,1,0.4074074074074074,0.6,0.46153846153846156,0.35714285714285715,1.0,2,0.5,1,0.6,0.57
5.0,Santa Clara,17,6,11,36,32,4,57,FC Porto,3.0,26.01.2025,18:00,away,1,1,D,draw,0.05,3.19,0.22,0.78,2.0,21.0,1.0,7.0,2.0,7.0,0.61,0.88,6.0,3.0,1.0,10.0,0.0,4.0,2.0,1.0,12.0,23.0,18.0,34.0,23.0,12.0,8.0,6.0,6.0,0.0,0.0,6.0,1.0,11.0,1.0,10.0,0.0,3.0,0.0,1.0,6.0,32.0,0.26,0.82,0.17,0.25,0.72,1.0,53.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,8,0,0,0,0.39285714285714285,0.4,0.46153846153846156,0.3333333333333333,0.0,0,0.30000000000000004,0,0.4,0.37000000000000005
5.0,Santa Clara,17,6,11,36,32,4,57,Arouca,12.0,26.04.2025,15:30,home,2,0,W,team,0.87,0.84,0.39,0.61,9.0,15.0,4.0,5.0,3.0,5.0,0.71,0.86,4.0,5.0,2.0,8.0,3.0,2.0,2.0,1.0,14.0,14.0,28.0,18.0,14.0,14.0,4.0,6.0,5.0,2.0,1.0,1.0,3.0,7.0,6.0,8.0,0.0,0.0,0.0,0.0,13.0,12.0,0.56,0.65,0.22,0.15,0.47,0.65,32.0,31.0,0.0,1.0,1.5,0.66,0.0,1.0,0.26,0.43,0.7,0.67,47.0,50.0,0.0,0.0,0.0,1.0,0.66,1.5,0.66,-0.5,15,1,1,1,1,0.41379310344827586,0.6,0.5,0.3333333333333333,0.0,1,0.4,2,0.6,0.54
5.0,Santa Clara,17,6,11,36,32,4,57,Boavista,18.0,29.09.2024,20:30,home,1,0,W,team,2.13,0.03,0.6,0.4,15.0,4.0,5.0,2.0,3.0,0.0,0.0,0.0,4.0,3.0,7.0,2.0,3.0,0.0,4.0,1.0,11.0,17.0,29.0,25.0,11.0,9.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,3,1,1,1,0.43333333333333335,0.8,0.5333333333333333,0.3333333333333333,0.0,2,0.5,1,0.8,0.7100000000000001
5.0,Santa Clara,17,6,11,36,32,4,57,Nacional,14.0,30.03.2025,15:30,home,1,0,W,team,0.83,0.52,0.37,0.63,13.0,9.0,5.0,4.0,3.0,4.0,0.65,0.72,3.0,3.0,7.0,4.0,1.0,1.0,4.0,0.0,16.0,23.0,22.0,35.0,23.0,16.0,11.0,2.0,4.0,4.0,2.0,0.0,9.0,6.0,4.0,3.0,0.0,1.0,0.0,0.0,18.0,15.0,0.49,0.52,0.31,0.33,0.5,0.7,26.0,25.0,0.0,1.0,0.92,0.84,0.0,0.0,0.29,0.38,0.67,0.31,44.0,57.0,0.0,0.0,0.0,1.0,0.84,0.92,0.84,-0.08,15,12,1,1,1,0.45161290322580644,0.8,0.5625,0.3333333333333333,0.0,3,0.6,1,0.8,0.7400000000000001
5.0,Santa Clara,17,6,11,36,32,4,57,Sporting CP,1.0,30.11.2024,20:30,away,1,0,W,team,0.37,1.51,0.26,0.74,4.0,21.0,3.0,4.0,2.0,8.0,0.66,0.91,9.0,2.0,1.0,9.0,0.0,8.0,1.0,0.0,9.0,18.0,17.0,23.0,18.0,9.0,10.0,5.0,4.0,2.0,1.0,2.0,1.0,14.0,3.0,7.0,0.0,0.0,0.0,0.0,5.0,44.0,0.44,0.86,0.0,0.26,0.58,0.6,38.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,16,0,1,1,0.46875,0.8,0.5625,0.375,0.0,4,0.6,1,0.8,0.7400000000000001
5.0,Santa Clara,17,6,11,36,32,4,57,Famalicao,7.0,30.12.2024,20:15,away,2,1,W,team,1.39,1.04,0.31,0.69,7.0,18.0,3.0,5.0,4.0,5.0,0.74,0.87,3.0,3.0,3.0,7.0,1.0,6.0,0.0,1.0,11.0,13.0,18.0,26.0,13.0,11.0,11.0,10.0,4.0,1.0,2.0,1.0,5.0,7.0,2.0,11.0,0.0,0.0,1.0,1.0,12.0,18.0,0.52,0.75,0.44,0.17,0.69,0.5,43.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,9,0,1,1,0.48484848484848486,1.0,0.5625,0.4117647058823529,1.0,5,0.6,1,1.0,0.8799999999999999
5.0,Santa Clara,17,6,11,36,32,4,57,AFS,16.0,31.08.2024,15:30,home,2,1,W,team,1.87,0.88,0.49,0.51,15.0,9.0,6.0,2.0,3.0,2.0,0.0,0.0,1.0,2.0,7.0,6.0,2.0,1.0,0.0,0.0,9.0,13.0,26.0,36.0,12.0,9.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0,1,1,1,0.5,1.0,0.5882352941176471,0.4117647058823529,1.0,6,0.6,1,1.0,0.8799999999999999
1.0,Sporting CP,25,7,2,88,27,61,82,Estrela,15.0,01.11.2024,20:15,home,5,1,W,team,3.26,1.83,0.64,0.36,20.0,9.0,8.0,5.0,12.0,2.0,0.88,0.82,0.0,4.0,5.0,3.0,7.0,1.0,0.0,1.0,15.0,13.0,13.0,11.0,13.0,15.0,5.0,8.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,7,1,1,1,1.0,1.0,1.0,0.5,0.5,1,0.1,4,1.0,0.73
