Rank,Team,Wins,Draws,Loses,Team_goals,Opponents_goals,Goal_difference,Points,Opponent,opponent_rank,Date,Time,Home/Away,team_goals,opponent_goals,Outcome,Target_Winner,stat_Expected_Goals_xG_team,stat_Expected_Goals_xG_opponent,stat_Ball_Possession_team,stat_Ball_Possession_opponent,stat_Total_shots_team,stat_Total_shots_opponent,stat_Shots_on_target_team,stat_Shots_on_target_opponent,stat_Big_Chances_team,stat_Big_Chances_opponent,stat_Corner_Kicks_team,stat_Corner_Kicks_opponent,stat_Passes_team,stat_Passes_opponent,stat_Yellow_Cards_team,stat_Yellow_Cards_opponent,stat_xG_on_target_xGOT_team,stat_xG_on_target_xGOT_opponent,stat_Shots_off_target_team,stat_Shots_off_target_opponent,stat_Blocked_Shots_team,stat_Blocked_Shots_opponent,stat_Shots_inside_the_Box_team,stat_Shots_inside_the_Box_opponent,stat_Shots_outside_the_Box_team,stat_Shots_outside_the_Box_opponent,stat_Hit_the_Woodwork_team,stat_Hit_the_Woodwork_opponent,stat_Headed_Goals_team,stat_Headed_Goals_opponent,stat_Touches_in_opposition_box_team,stat_Touches_in_opposition_box_opponent,stat_Accurate_through_passes_team,stat_Accurate_through_passes_opponent,stat_Offsides_team,stat_Offsides_opponent,stat_Free_Kicks_team,stat_Free_Kicks_opponent,stat_Long_passes_team,stat_Long_passes_opponent,stat_Passes_in_final_third_team,stat_Passes_in_final_third_opponent,stat_Crosses_team,stat_Crosses_opponent,stat_Expected_assists_xA_team,stat_Expected_assists_xA_opponent,stat_Throw-ins_team,stat_Throw-ins_opponent,stat_Fouls_team,stat_Fouls_opponent,stat_Tackles_team,stat_Tackles_opponent,stat_Duels_won_team,stat_Duels_won_opponent,stat_Clearances_team,stat_Clearances_opponent,stat_Interceptions_team,stat_Interceptions_opponent,stat_Errors_leading_to_shot_team,stat_Errors_leading_to_shot_opponent,stat_Errors_leading_to_goal_team,stat_Errors_leading_to_goal_opponent,stat_Goalkeeper_Saves_team,stat_Goalkeeper_Saves_opponent,stat_xGOT_faced_team,stat_xGOT_faced_opponent,stat_Goals_prevented_team,stat_Goals_prevented_opponent,stat_Red_Cards_team,stat_Red_Cards_opponent,Team_encoded,Opponent_encoded,Home_encoded,Outcome_encoded,Target_encoded,win_rate_global,win_rate_lastN,home_win_rate,away_win_rate,h2h_win_rate,win_streak,form_score,goal_diff,goal_diff_win_rate,weighted_outcome
15.0,Csikszereda M. Ciuc,0,2,5,7,19,-12,2,Univ. Craiova,1.0,17.08.2025,14:15,home,1,2,L,opponent,0.27,1.18,0.44,0.56,9,12,5,5,0,2,8,4,0.81,0.85,4.0,2.0,0.52,1.35,3,3,1,4,3,5,6,7,0,0,0.0,0.0,12,19,0,0,2,1,10,11,0.5,0.45,0.68,0.74,0.12,0.11,0.36,1.27,21,28,13,10,0.69,0.53,42,36,22,25,10,5,0,0,1,1,3,4,1.35,0.52,-0.65,0.52,0.0,0.0,1,15,1,2,2,0.0,0.0,0.0,0.0,0.5,0,0.0,-1,0.0,0.0
15.0,Csikszereda M. Ciuc,0,2,5,7,19,-12,2,Unirea Slobozia,9.0,21.07.2025,17:00,away,1,6,L,opponent,1.24,2.66,0.4,0.6,15,20,6,11,1,7,1,2,0.79,0.84,0.0,0.0,1.18,4.41,5,5,4,4,7,11,8,9,0,2,0.0,0.0,19,16,0,1,1,3,11,6,0.47,0.55,0.69,0.73,0.33,0.06,0.92,1.07,21,21,6,11,0.67,0.58,39,39,28,11,5,4,0,0,1,0,5,5,4.41,1.18,-1.59,0.21,1.0,0.0,1,14,0,2,2,0.0,0.0,0.0,0.0,0.5,0,0.0,-5,0.0,0.0
15.0,Csikszereda M. Ciuc,0,2,5,7,19,-12,2,FC Botosani,5.0,23.08.2025,16:45,away,1,3,L,opponent,0.95,1.48,0.44,0.56,9,14,4,8,1,3,1,5,0.66,0.74,1.0,5.0,1.27,3.07,1,3,4,3,6,5,3,9,0,0,0.0,0.0,15,29,0,0,2,2,26,11,0.37,0.33,0.53,0.65,0.25,0.2,0.87,0.7,29,37,12,26,0.71,0.72,66,45,39,19,7,8,1,0,1,0,5,3,3.07,1.27,0.07,0.27,0.0,0.0,1,4,0,2,2,0.0,0.0,0.0,0.0,0.5,0,0.0,-2,0.0,0.0
15.0,Csikszereda M. Ciuc,0,2,5,7,19,-12,2,FC Rapid Bucuresti,2.0,25.07.2025,20:00,home,0,2,L,opponent,1.04,2.79,0.38,0.62,17,15,4,8,0,4,5,3,0.85,0.91,1.0,2.0,0.54,2.3,7,5,6,2,9,12,8,3,1,1,0.0,0.0,27,31,1,2,3,2,10,9,0.45,0.67,0.76,0.82,0.14,0.29,0.82,2.46,16,15,9,10,0.62,0.54,31,43,21,21,4,5,0,1,1,0,6,4,2.3,0.54,0.3,0.54,0.0,0.0,1,6,1,2,2,0.0,0.0,0.0,0.0,0.5,0,0.0,-2,0.0,0.0
3.0,Din. Bucuresti,4,3,1,12,8,4,15,FCSB,13.0,02.08.2025,19:30,home,4,3,W,team,2.29,2.3,0.57,0.43,13,11,7,4,3,3,5,2,0.84,0.82,1.0,3.0,3.47,2.44,5,5,1,2,10,6,3,4,0,0,0.0,0.0,22,21,0,2,3,1,16,17,0.35,0.47,0.76,0.76,0.38,0.13,0.66,0.83,18,12,17,16,0.38,0.74,45,53,15,19,4,4,0,1,0,0,1,3,2.44,3.47,-0.56,-0.53,0.0,0.0,2,7,1,1,1,1.0,1.0,1.0,0.5,0.5,1,0.1,1,1.0,0.73
3.0,Din. Bucuresti,4,3,1,12,8,4,15,Metaloglobus Bucharest,16.0,08.08.2025,19:30,away,1,0,W,team,0.45,0.52,0.49,0.51,13,15,3,1,0,0,9,6,0.83,0.83,0.0,1.0,0.61,0.26,4,7,6,7,6,5,7,9,1,0,0.0,0.0,14,17,0,0,2,0,4,6,0.47,0.58,0.73,0.71,0.19,0.12,0.37,0.62,24,18,6,4,0.77,0.86,38,42,33,23,9,2,0,0,0,0,1,2,0.26,0.61,-0.74,-0.39,0.0,0.0,2,9,0,1,1,1.0,1.0,1.0,1.0,0.5,2,0.30000000000000004,1,1.0,0.79
3.0,Din. Bucuresti,4,3,1,12,8,4,15,Csikszereda M. Ciuc,15.0,14.07.2025,19:30,away,2,2,D,draw,1.34,0.39,0.73,0.27,17,5,10,3,2,2,9,0,0.89,0.61,2.0,1.0,2.66,1.06,6,2,1,0,5,2,12,3,1,1,1.0,0.0,29,6,1,1,1,2,13,11,0.41,0.26,0.72,0.38,0.12,0.0,1.02,0.22,22,22,11,13,0.71,0.67,44,38,16,40,8,8,0,1,0,0,1,8,1.06,2.66,0.06,0.52,0.0,0.0,2,1,0,0,0,0.6666666666666666,0.6666666666666666,1.0,0.5,0.5,0,0.30000000000000004,0,0.6666666666666666,0.5566666666666666
3.0,Din. Bucuresti,4,3,1,12,8,4,15,UTA Arad,7.0,15.08.2025,19:30,home,1,1,D,draw,1.35,1.22,0.61,0.39,17,12,5,7,0,3,6,3,0.92,0.82,4.0,1.0,1.78,2.15,8,0,4,5,14,9,3,3,0,1,0.0,0.0,44,21,1,2,2,3,7,10,0.63,0.41,0.86,0.66,0.32,0.2,2.2,0.91,16,17,10,8,0.7,0.88,38,36,24,19,6,4,1,1,1,0,6,4,2.15,1.78,1.15,0.78,2.0,0.0,2,13,1,0,0,0.5,0.5,0.5,0.5,0.5,0,0.1,0,0.5,0.38
3.0,Din. Bucuresti,4,3,1,12,8,4,15,FC Botosani,5.0,21.07.2025,19:30,home,0,0,D,draw,0.63,0.39,0.55,0.45,12,7,3,1,2,1,7,5,0.75,0.68,0.0,2.0,0.21,0.16,7,4,2,2,10,4,2,3,1,0,0.0,0.0,28,20,0,1,4,1,20,10,0.36,0.31,0.61,0.48,0.32,0.17,1.17,0.63,27,21,10,20,0.71,0.63,61,46,38,39,11,8,0,0,0,0,1,3,0.16,0.21,0.16,0.21,0.0,0.0,2,4,1,0,0,0.4,0.4,0.3333333333333333,0.5,0.5,0,0.0,0,0.4,0.28
3.0,Din. Bucuresti,4,3,1,12,8,4,15,U. Cluj,8.0,23.08.2025,19:30,away,1,0,W,team,0.45,0.11,0.52,0.48,10,5,3,2,1,0,5,4,0.84,0.78,4.0,3.0,0.46,0.28,5,2,2,1,6,1,4,4,0,0,0.0,0.0,29,11,1,0,3,1,11,8,0.58,0.37,0.74,0.64,0.43,0.05,0.84,0.19,23,27,10,11,0.45,0.8,45,52,30,16,10,7,0,0,0,0,2,2,0.28,0.46,0.28,-0.54,0.0,0.0,2,12,0,1,1,0.5,0.4,0.3333333333333333,0.6666666666666666,0.5,1,0.3,1,0.4,0.37000000000000005
