Rank,Wins,Draws,Loses,Team_goals,Opponents_goals,Goal_difference,Points,opponent_rank,Time,team_goals,opponent_goals,stat_Ball_Possession_team,stat_Ball_Possession_opponent,stat_Total_shots_team,stat_Total_shots_opponent,stat_Shots_on_target_team,stat_Shots_on_target_opponent,stat_Corner_Kicks_team,stat_Corner_Kicks_opponent,stat_Yellow_Cards_team,stat_Yellow_Cards_opponent,stat_Shots_off_target_team,stat_Shots_off_target_opponent,stat_Blocked_Shots_team,stat_Blocked_Shots_opponent,stat_Offsides_team,stat_Offsides_opponent,stat_Free_Kicks_team,stat_Free_Kicks_opponent,stat_Throw-ins_team,stat_Throw-ins_opponent,stat_Fouls_team,stat_Fouls_opponent,stat_Goalkeeper_Saves_team,stat_Goalkeeper_Saves_opponent,stat_Expected_Goals_xG_team,stat_Expected_Goals_xG_opponent,stat_Big_Chances_team,stat_Big_Chances_opponent,stat_Passes_team,stat_Passes_opponent,stat_Red_Cards_team,stat_Red_Cards_opponent,stat_Shots_inside_the_Box_team,stat_Shots_inside_the_Box_opponent,stat_Shots_outside_the_Box_team,stat_Shots_outside_the_Box_opponent,stat_Hit_the_Woodwork_team,stat_Hit_the_Woodwork_opponent,stat_Headed_Goals_team,stat_Headed_Goals_opponent,stat_Touches_in_opposition_box_team,stat_Touches_in_opposition_box_opponent,stat_Passes_in_final_third_team,stat_Passes_in_final_third_opponent,stat_Crosses_team,stat_Crosses_opponent,stat_Tackles_team,stat_Tackles_opponent,stat_Clearances_team,stat_Clearances_opponent,stat_Interceptions_team,stat_Interceptions_opponent,stat_xG_on_target_xGOT_team,stat_xG_on_target_xGOT_opponent,stat_Accurate_through_passes_team,stat_Accurate_through_passes_opponent,stat_Long_passes_team,stat_Long_passes_opponent,stat_Expected_assists_xA_team,stat_Expected_assists_xA_opponent,stat_Duels_won_team,stat_Duels_won_opponent,stat_Errors_leading_to_shot_team,stat_Errors_leading_to_shot_opponent,stat_xGOT_faced_team,stat_xGOT_faced_opponent,stat_Goals_prevented_team,stat_Goals_prevented_opponent
1.0,15,11,4,43,24,19,56,7.0,0.89999999955,3,0,0.63,0.37,21,7,11,3,10,1,1.0,0.0,5,2,5,2,4,1,16.0,12.0,23,17,12,16,3,8,3.39,0.29,6.0,0.0,0.86,0.74,0.0,0.0,14.0,3.0,7.0,4.0,0.0,0.0,1.0,0.0,43.0,6.0,0.77,0.64,0.3,0.17,0.58,0.46,13.0,24.0,9.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,15,11,4,43,24,19,56,3.0,0.89999999955,1,0,0.42,0.58,13,10,4,2,9,8,4.0,5.0,4,5,5,3,2,0,14.0,15.0,20,23,15,14,2,3,1.2,0.71,1.0,1.0,0.78,0.83,1.0,0.0,7.0,7.0,6.0,3.0,0.0,0.0,0.0,0.0,21.0,16.0,0.7,0.7,0.24,0.31,0.67,0.54,28.0,24.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,15,11,4,43,24,19,56,10.0,0.9499999995249999,3,2,0.64,0.36,23,9,8,2,6,2,1.0,3.0,11,5,4,2,2,0,12.0,10.0,14,16,10,14,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,15,11,4,43,24,19,56,4.0,0.9499999995249999,2,1,0.45,0.55,9,10,4,6,2,6,4.0,4.0,4,4,1,0,3,3,17.0,16.0,27,30,16,17,5,2,1.16,0.46,0.0,0.0,0.69,0.76,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,15,11,4,43,24,19,56,4.0,0.9149999995425,2,0,0.57,0.43,11,14,6,3,4,5,3.0,0.0,3,9,2,2,3,1,12.0,10.0,23,18,10,12,3,4,1.09,0.71,4.0,2.0,0.83,0.8,0.0,0.0,9.0,8.0,2.0,6.0,0.0,1.0,0.0,0.0,24.0,21.0,0.68,0.66,0.42,0.18,0.71,0.68,15.0,14.0,7.0,16.0,2.55,0.64,1.0,0.0,0.56,0.48,1.2,0.7,63.0,50.0,0.0,0.0,0.64,2.55,0.64,0.55
1.0,15,11,4,43,24,19,56,3.0,0.9499999995249999,0,0,0.53,0.47,12,13,1,8,4,7,3.0,2.0,9,2,2,3,0,1,19.0,23.0,27,17,23,19,8,1,1.18,0.74,2.0,2.0,0.81,0.81,0.0,0.0,6.0,9.0,6.0,4.0,0.0,1.0,0.0,0.0,12.0,20.0,0.69,0.62,0.29,0.27,0.65,0.73,19.0,27.0,13.0,8.0,0.56,3.17,0.0,0.0,0.45,0.49,0.6,0.45,51.0,61.0,1.0,0.0,3.17,0.56,3.17,0.56
1.0,15,11,4,43,24,19,56,4.0,0.9999999995,1,1,0.57,0.43,20,4,6,2,6,0,2.0,3.0,10,0,4,2,3,0,8.0,2.0,17,18,5,12,1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,15,11,4,43,24,19,56,2.0,0.9499999995249999,2,2,0.62,0.38,13,8,4,5,4,1,1.0,2.0,5,3,4,0,1,1,17.0,18.0,29,14,17,19,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,15,11,4,43,24,19,56,10.0,0.92249999953875,1,1,0.5,0.5,21,18,7,6,9,4,2.0,0.0,7,8,7,4,2,3,8.0,9.0,21,26,9,8,5,6,2.22,1.06,3.0,3.0,0.78,0.79,0.0,0.0,13.0,7.0,8.0,11.0,0.0,1.0,0.0,1.0,35.0,21.0,0.65,0.66,0.35,0.55,0.5,0.7,16.0,27.0,10.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,15,11,4,43,24,19,56,16.0,0.92249999953875,2,0,0.59,0.41,23,7,9,2,4,2,1.0,2.0,9,5,5,0,1,0,8.0,13.0,27,18,13,8,2,7,2.08,0.28,3.0,0.0,0.71,0.6,0.0,0.0,13.0,4.0,8.0,3.0,2.0,0.0,0.0,0.0,43.0,8.0,0.6,0.48,0.24,0.45,0.76,0.71,18.0,49.0,6.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
